age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
72,Private,109385,1st-4th,2,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,36,United-states,<=50k
41,Self-emp-not-inc,111232,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-states,<=50k
49,Private,543922,Hs-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,42,United-states,>50k
24,Private,114939,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-states,<=50k
22,Private,137320,Hs-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,United-states,<=50k
52,Private,338816,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,45,United-states,>50k
36,Private,116358,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-pac-islander,Male,0,0,40,Taiwan,>50k
43,Local-gov,126847,Masters,14,Married-spouse-absent,Prof-specialty,Unmarried,White,Female,7430,0,60,United-states,>50k
65,Private,146159,7th-8th,4,Widowed,Priv-house-serv,Not-in-family,Black,Female,0,1668,31,United-states,<=50k
35,Federal-gov,110188,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-pac-islander,Male,0,0,40,Vietnam,<=50k
36,Private,179731,Hs-grad,9,Never-married,Priv-house-serv,Other-relative,White,Female,0,0,20,?,<=50k
40,Private,356934,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-states,>50k
50,Private,240374,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-states,>50k
27,Private,430340,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,45,United-states,<=50k
47,Self-emp-not-inc,173938,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2258,20,United-states,<=50k
19,Private,197714,Hs-grad,9,Never-married,Sales,Own-child,White,Female,0,0,35,United-states,<=50k
35,Self-emp-inc,187046,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-states,<=50k
24,Local-gov,134181,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,50,United-states,<=50k
44,Private,173888,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,80,United-states,>50k
50,Private,279129,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,United-states,>50k
46,Private,96773,Hs-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-states,<=50k
44,Self-emp-not-inc,247024,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-states,<=50k
34,Private,198103,Hs-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,1980,40,United-states,<=50k
55,State-gov,146326,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,45,United-states,>50k
17,Local-gov,191910,11th,7,Never-married,Sales,Own-child,White,Male,0,0,20,United-states,<=50k
22,Private,537222,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,25,United-states,<=50k
37,?,223732,Some-college,10,Separated,?,Unmarried,White,Male,0,0,40,United-states,<=50k
50,Private,166565,Hs-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-states,<=50k
50,State-gov,288353,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-states,>50k
62,Self-emp-inc,197060,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-states,<=50k
46,Private,120131,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,40,United-states,>50k
19,Private,283945,10th,6,Never-married,Handlers-cleaners,Other-relative,White,Male,0,1602,45,United-states,<=50k
38,Private,27408,Hs-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,60,United-states,<=50k
67,Local-gov,258973,Hs-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,24,United-states,<=50k
55,Private,218456,Hs-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,40,United-states,<=50k
23,Private,275357,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,35,United-states,<=50k
25,Private,109390,Hs-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,70,United-states,<=50k
22,Private,243178,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,20,United-states,<=50k
24,Private,88926,Hs-grad,9,Never-married,Tech-support,Not-in-family,White,Male,0,0,45,United-states,<=50k
26,Private,94392,11th,7,Separated,Other-service,Unmarried,White,Female,0,0,20,United-states,<=50k
29,Private,152461,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,14344,0,50,United-states,>50k
31,Private,112115,Hs-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-states,>50k
47,Private,161676,11th,7,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,40,United-states,<=50k
37,Self-emp-not-inc,204501,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,20,Canada,>50k
77,Private,171193,Assoc-voc,11,Divorced,Sales,Not-in-family,White,Female,0,1668,30,United-states,<=50k
33,State-gov,43716,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,4,United-states,<=50k
43,Self-emp-inc,602513,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-states,>50k
34,Private,118710,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-states,>50k
31,Private,55104,Hs-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,25,United-states,<=50k
36,Private,428251,Bachelors,13,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-states,<=50k
25,Private,404951,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Female,0,0,38,United-states,<=50k
54,Private,152652,Hs-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,65,United-states,<=50k
51,Private,195105,Hs-grad,9,Divorced,Priv-house-serv,Own-child,White,Female,0,0,40,United-states,<=50k
55,Private,157932,Hs-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-states,<=50k
36,Private,257250,Hs-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,United-states,<=50k
36,Private,205359,Hs-grad,9,Married-spouse-absent,Other-service,Unmarried,White,Female,0,0,25,United-states,<=50k
45,Private,132847,Hs-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,40,United-states,<=50k
52,Private,84278,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,55,?,>50k
27,?,216479,Bachelors,13,Married-civ-spouse,?,Wife,White,Female,0,0,24,United-states,>50k
48,Private,283737,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-states,<=50k
49,State-gov,122177,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-states,>50k
56,Self-emp-not-inc,170217,Hs-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,United-states,<=50k
26,Private,159732,Hs-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,52,United-states,<=50k
44,Private,222635,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-states,<=50k
51,Private,153486,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-states,<=50k
27,Private,188189,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,30,United-states,<=50k
18,Private,154089,11th,7,Never-married,Sales,Unmarried,White,Male,0,0,20,United-states,<=50k
24,Private,99970,Bachelors,13,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-states,<=50k
20,Self-emp-not-inc,217404,10th,6,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-states,<=50k
34,Private,113364,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,White,Male,0,0,35,United-states,<=50k
59,Private,229939,Hs-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-states,<=50k
45,Private,196584,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,40,United-states,>50k
37,Local-gov,249392,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-states,>50k
41,Private,405172,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,?,>50k
52,Private,618130,Hs-grad,9,Divorced,Other-service,Own-child,Black,Female,0,0,40,United-states,<=50k
28,Private,128055,Hs-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-states,<=50k
48,Private,278303,Hs-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-states,<=50k
54,Private,229272,Hs-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-states,>50k
37,Private,115429,Hs-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,25,United-states,<=50k
52,Private,298215,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-states,>50k
36,Private,320811,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-states,>50k
52,Local-gov,181132,Hs-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1887,40,United-states,>50k
27,Private,183511,Hs-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-states,<=50k
67,Local-gov,197816,Hs-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,24,United-states,<=50k
