age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
65,Self-emp-inc,1141724,Assoc-acdm,13,Married-spouse-absent,Exec-managerial,Wife,Amer-indian-eskimo,Female,75823,3407,31,Peru,>50k
25,Federal-gov,826768,1st-4th,9,Married-af-spouse,Transport-moving,Not-in-family,Amer-indian-eskimo,Male,40134,2789,42,Outlying-us(guam-usvi-etc),>50k
87,Federal-gov,364647,9th,9,Never-married,Armed-forces,Own-child,Other,Female,14404,1160,15,Italy,<=50k
52,Never-worked,516158,Doctorate,9,Married-spouse-absent,Protective-serv,Not-in-family,White,Male,59334,876,79,Taiwan,<=50k
81,State-gov,1144086,7th-8th,13,Married-civ-spouse,Transport-moving,Own-child,Other,Male,1434,2110,23,Outlying-us(guam-usvi-etc),>50k
32,Self-emp-not-inc,1011783,Masters,2,Married-civ-spouse,?,Husband,Amer-indian-eskimo,Female,28383,1254,28,Yugoslavia,>50k
20,State-gov,921266,Preschool,7,Married-civ-spouse,Craft-repair,Husband,Black,Male,20551,2651,98,England,>50k
46,Self-emp-inc,801118,Prof-school,4,Never-married,Other-service,Husband,Other,Female,82015,2871,89,Greece,<=50k
34,Local-gov,458555,12th,4,Married-civ-spouse,Other-service,Husband,Asian-pac-islander,Male,16060,2624,28,India,<=50k
79,Self-emp-not-inc,826205,5th-6th,2,Widowed,Other-service,Wife,Other,Female,21652,1763,61,Nicaragua,>50k
32,Self-emp-inc,791780,Masters,8,Never-married,Machine-op-inspct,Own-child,Asian-pac-islander,Female,91289,2846,75,Thailand,<=50k
71,State-gov,1428148,Prof-school,13,Divorced,Machine-op-inspct,Wife,White,Male,61967,3749,98,Columbia,<=50k
46,State-gov,351930,9th,4,Separated,Exec-managerial,Husband,White,Male,98628,3556,68,Taiwan,>50k
30,Local-gov,358452,10th,12,Divorced,Craft-repair,Own-child,Other,Male,38838,1159,73,Columbia,>50k
72,Self-emp-not-inc,454139,Some-college,3,Separated,Other-service,Not-in-family,Amer-indian-eskimo,Female,9801,1190,37,India,<=50k
22,Local-gov,940749,Doctorate,6,Separated,Armed-forces,Unmarried,Asian-pac-islander,Female,16634,368,49,Japan,>50k
82,Private,191977,1st-4th,14,Divorced,Armed-forces,Other-relative,Other,Female,62383,2140,99,Iran,<=50k
87,Self-emp-inc,1288121,Masters,9,Married-spouse-absent,Prof-specialty,Unmarried,Amer-indian-eskimo,Male,85318,704,45,Iran,>50k
85,Self-emp-not-inc,1250375,Preschool,15,Married-spouse-absent,Armed-forces,Not-in-family,Black,Male,98719,746,24,Hong,<=50k
47,Federal-gov,1213427,Assoc-acdm,4,Married-civ-spouse,Craft-repair,Unmarried,Black,Male,27256,4335,86,Cambodia,<=50k
19,Never-worked,732520,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Wife,Asian-pac-islander,Male,41480,3081,30,Haiti,>50k
89,Without-pay,182565,Hs-grad,1,Widowed,Sales,Husband,Asian-pac-islander,Male,58226,3159,65,Japan,>50k
42,Without-pay,602414,Prof-school,5,Married-civ-spouse,Protective-serv,Husband,Black,Female,53215,433,94,Yugoslavia,<=50k
69,Never-worked,999394,5th-6th,10,Widowed,Sales,Wife,Black,Female,50828,3624,30,South,<=50k
43,Self-emp-inc,443805,10th,5,Married-spouse-absent,Craft-repair,Husband,Other,Male,15443,2790,28,Guatemala,<=50k
19,Never-worked,753501,11th,16,Divorced,Exec-managerial,Husband,Other,Male,25438,3491,97,Taiwan,<=50k
