age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
21,Private,152668,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,35,United-states,<=50k
35,Private,186845,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-states,>50k
59,Local-gov,170423,Hs-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-states,<=50k
30,Self-emp-not-inc,347166,Hs-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-states,<=50k
23,Self-emp-not-inc,448026,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,0,0,45,United-states,<=50k
23,Private,218343,Assoc-acdm,12,Never-married,Sales,Own-child,White,Female,0,0,40,United-states,<=50k
36,Private,207853,Hs-grad,9,Divorced,Craft-repair,Own-child,White,Male,0,0,40,United-states,<=50k
29,Private,320451,Bachelors,13,Married-spouse-absent,Sales,Other-relative,Asian-pac-islander,Male,0,0,40,?,<=50k
43,Self-emp-not-inc,170230,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,60,United-states,<=50k
47,Private,76034,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,57,United-states,>50k
39,Private,91711,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-states,>50k
44,Private,112797,9th,5,Divorced,Other-service,Own-child,White,Female,0,0,50,United-states,<=50k
51,Self-emp-not-inc,160724,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-pac-islander,Male,0,2415,40,China,>50k
61,Private,80896,Hs-grad,9,Separated,Transport-moving,Unmarried,Asian-pac-islander,Male,0,0,45,United-states,>50k
26,Private,181838,Hs-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-states,<=50k
56,Self-emp-not-inc,42166,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-states,<=50k
37,Private,160192,Hs-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-states,>50k
47,Private,121958,7th-8th,4,Married-spouse-absent,Other-service,Unmarried,White,Female,0,0,30,United-states,<=50k
