age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
37,State-gov,24342,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,38,United-states,<=50k
47,Private,192835,Hs-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-states,>50k
21,Private,50341,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,United-states,<=50k
25,Private,144478,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,40,Poland,<=50k
29,Private,367706,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Male,0,0,40,United-states,<=50k
24,Private,237928,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,39,United-states,<=50k
28,Private,190350,9th,5,Married-civ-spouse,Protective-serv,Wife,Black,Female,0,0,40,United-states,<=50k
25,Private,166415,Hs-grad,9,Never-married,Transport-moving,Unmarried,White,Male,0,0,52,United-states,<=50k
50,Private,205803,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,15024,0,40,United-states,>50k
30,Private,348618,9th,5,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,40,Mexico,<=50k
29,Local-gov,115585,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-states,<=50k
55,Self-emp-not-inc,283635,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,35,United-states,<=50k
35,Local-gov,190226,Hs-grad,9,Never-married,Protective-serv,Own-child,White,Male,0,0,40,United-states,<=50k
17,Self-emp-inc,61838,10th,6,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-states,<=50k
70,Private,304570,Bachelors,13,Widowed,Machine-op-inspct,Other-relative,Asian-pac-islander,Male,0,0,32,Philippines,<=50k
60,Private,26756,Hs-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,50,United-states,<=50k
26,State-gov,208122,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,15,United-states,<=50k
34,Private,209213,Hs-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,?,<=50k
59,Private,31782,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-states,>50k
38,Self-emp-not-inc,185325,Hs-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-states,>50k
53,Private,151580,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40,United-states,>50k
32,Private,159589,Hs-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,50,United-states,<=50k
19,?,252292,Hs-grad,9,Never-married,?,Own-child,White,Male,0,0,40,United-states,<=50k
27,Local-gov,85918,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,68,United-states,<=50k
19,?,218956,Some-college,10,Never-married,?,Own-child,White,Male,0,0,24,Canada,<=50k
64,Private,144182,Hs-grad,9,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,23,United-states,<=50k
24,Private,72119,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,2202,0,30,United-states,<=50k
42,Local-gov,189956,Bachelors,13,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,30,United-states,<=50k
64,Private,265661,Hs-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-states,<=50k
28,Local-gov,86615,Hs-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,30,United-states,<=50k
25,Private,202033,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-states,<=50k
37,Local-gov,80680,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,1151,0,35,United-states,<=50k
44,Private,148138,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,Asian-pac-islander,Male,15024,0,40,Japan,>50k
23,Private,413345,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,60,United-states,<=50k
19,Private,530454,Hs-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,50,United-states,<=50k
33,Private,202046,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,2001,40,United-states,<=50k
17,Private,111332,11th,7,Never-married,Sales,Own-child,White,Female,0,0,20,United-states,<=50k
36,Private,745768,Some-college,10,Never-married,Protective-serv,Unmarried,Black,Female,0,0,40,United-states,<=50k
61,State-gov,379885,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,United-states,>50k
36,Private,160728,Hs-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,60,United-states,<=50k
28,Private,162343,Hs-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,Puerto-rico,<=50k
74,Private,180455,Bachelors,13,Widowed,Other-service,Not-in-family,White,Female,0,0,8,United-states,<=50k
33,Private,276221,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-states,<=50k
41,Private,100451,Hs-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,38,United-states,>50k
40,Private,143046,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-states,<=50k
51,Private,386773,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,55,United-states,>50k
41,Local-gov,488706,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-states,<=50k
36,Private,188540,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-states,<=50k
30,Private,327202,12th,8,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,United-states,<=50k
54,Private,24108,Some-college,10,Separated,Exec-managerial,Not-in-family,White,Female,0,0,40,United-states,<=50k
29,Local-gov,152461,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,42,United-states,<=50k
26,Private,299810,Hs-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,50,United-states,<=50k
38,Private,242720,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-states,>50k
22,Private,180060,Hs-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,Yugoslavia,<=50k
22,Private,251073,9th,5,Never-married,Other-service,Own-child,White,Male,0,0,50,United-states,<=50k
23,Private,162945,Hs-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,2377,40,United-states,<=50k
51,Local-gov,96678,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-states,<=50k
18,Private,126142,10th,6,Never-married,Craft-repair,Own-child,White,Male,0,0,30,United-states,<=50k
42,Private,99679,Hs-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-states,>50k
52,Private,349502,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Male,0,0,45,United-states,<=50k
52,Private,31460,Hs-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,0,38,United-states,<=50k
33,Self-emp-not-inc,112952,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,48,United-states,<=50k
30,Private,226943,Hs-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,United-states,<=50k
39,Self-emp-inc,122742,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,55,United-states,>50k
41,Private,107306,Hs-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,2174,0,40,United-states,<=50k
27,Private,97165,Some-college,10,Never-married,Machine-op-inspct,Other-relative,White,Female,0,0,40,United-states,<=50k
43,Private,33331,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-states,<=50k
33,Private,117983,10th,6,Divorced,Other-service,Unmarried,White,Female,0,0,45,United-states,<=50k
38,Private,117312,Hs-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,15024,0,40,United-states,>50k
35,Private,412379,Hs-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-states,<=50k
38,Private,103474,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-states,<=50k
42,Private,210525,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,20,United-states,>50k
58,Self-emp-not-inc,216824,Hs-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-pac-islander,Male,0,0,30,United-states,<=50k
28,Local-gov,154863,9th,5,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,Trinadad&tobago,>50k
59,Federal-gov,178660,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-states,<=50k
37,Private,44780,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-states,<=50k
21,Private,202570,12th,8,Never-married,Adm-clerical,Other-relative,Black,Male,0,0,48,?,<=50k
59,Private,175290,7th-8th,4,Never-married,Other-service,Other-relative,White,Male,0,0,32,United-states,<=50k
35,Private,214816,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-states,>50k
22,Private,193090,Hs-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,37,United-states,<=50k
24,Private,211160,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-states,<=50k
18,Private,111476,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-states,<=50k
45,Private,111979,Hs-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-states,<=50k
23,Private,204641,10th,6,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,50,United-states,<=50k
24,Local-gov,289886,11th,7,Never-married,Other-service,Not-in-family,Asian-pac-islander,Male,0,0,45,United-states,<=50k
42,Self-emp-not-inc,27661,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-states,<=50k
38,State-gov,31352,Some-college,10,Divorced,Protective-serv,Unmarried,Amer-indian-eskimo,Female,0,0,40,United-states,>50k
88,Self-emp-not-inc,187097,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-states,<=50k
19,?,233779,Some-college,10,Never-married,?,Own-child,White,Male,0,0,60,United-states,<=50k
39,Private,30673,Some-college,10,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-states,>50k
22,Private,214635,Hs-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,42,United-states,<=50k
29,Private,57596,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-states,<=50k
47,Private,285200,Hs-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-states,<=50k
