age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
79,Federal-gov,751342,Bachelors,14,Widowed,Craft-repair,Husband,Black,Male,21254,2794,34,Trinadad&tobago,>50k
64,Self-emp-inc,1420045,Prof-school,5,Married-spouse-absent,Transport-moving,Other-relative,White,Female,98584,3203,37,Taiwan,<=50k
54,Private,112185,Preschool,7,Married-af-spouse,Transport-moving,Husband,Amer-indian-eskimo,Female,55624,373,31,United-states,<=50k
36,Without-pay,732232,Assoc-voc,1,Divorced,Exec-managerial,Husband,Black,Female,79673,1707,9,Hungary,>50k
39,Never-worked,825559,Bachelors,14,Widowed,Transport-moving,Other-relative,Black,Female,75754,3025,2,Germany,>50k
20,Self-emp-not-inc,1032710,Prof-school,9,Never-married,?,Husband,Other,Male,92247,2949,1,Philippines,>50k
22,Never-worked,544522,5th-6th,9,Never-married,Protective-serv,Husband,Asian-pac-islander,Male,82307,1274,14,Yugoslavia,>50k
18,State-gov,635149,Masters,14,Separated,Other-service,Wife,Black,Female,72910,1474,7,South,>50k
29,State-gov,327874,Assoc-acdm,8,Married-civ-spouse,Other-service,Not-in-family,Asian-pac-islander,Female,95199,1097,10,Guatemala,<=50k
77,Self-emp-inc,1260432,Preschool,6,Married-af-spouse,Priv-house-serv,Own-child,White,Male,3013,3460,66,Iran,<=50k
65,Local-gov,682298,Some-college,7,Married-civ-spouse,Transport-moving,Own-child,Black,Female,29637,2396,46,Vietnam,>50k
84,Self-emp-inc,1088568,Preschool,6,Married-af-spouse,Tech-support,Other-relative,Other,Female,52813,3261,61,France,>50k
54,Private,1191844,Assoc-voc,13,Separated,Craft-repair,Husband,White,Female,63978,2280,37,?,>50k
61,Self-emp-inc,274778,5th-6th,7,Married-spouse-absent,Priv-house-serv,Husband,Amer-indian-eskimo,Male,69467,0,36,France,<=50k
88,Never-worked,306602,Bachelors,8,Married-spouse-absent,Farming-fishing,Wife,Amer-indian-eskimo,Male,34748,573,53,India,>50k
70,Local-gov,1208537,Preschool,8,Married-spouse-absent,Tech-support,Husband,White,Female,29526,3618,58,Philippines,<=50k
63,Local-gov,281557,Masters,15,Separated,Farming-fishing,Unmarried,Amer-indian-eskimo,Male,11248,274,34,Scotland,>50k
57,Self-emp-inc,480892,Bachelors,3,Divorced,Exec-managerial,Wife,Asian-pac-islander,Male,62212,1106,38,Cuba,<=50k
58,State-gov,1222120,12th,11,Married-spouse-absent,Tech-support,Other-relative,White,Female,34457,3719,24,Outlying-us(guam-usvi-etc),<=50k
86,Without-pay,1177948,9th,14,Separated,Sales,Not-in-family,Other,Male,91395,3042,61,Guatemala,>50k
37,Federal-gov,1440383,Bachelors,16,Widowed,Sales,Husband,White,Male,27381,3656,12,India,>50k
77,State-gov,573492,11th,3,Divorced,?,Other-relative,Asian-pac-islander,Female,58611,442,45,Dominican-republic,<=50k
66,Local-gov,278348,7th-8th,4,Married-af-spouse,Tech-support,Not-in-family,Amer-indian-eskimo,Male,72304,432,37,Honduras,>50k
17,Never-worked,994448,Doctorate,14,Widowed,Prof-specialty,Own-child,Other,Female,1138,2859,1,Scotland,>50k
46,State-gov,1360206,Assoc-acdm,2,Divorced,Protective-serv,Unmarried,White,Male,83674,3918,21,Jamaica,>50k
80,Self-emp-not-inc,596739,Doctorate,16,Separated,Exec-managerial,Not-in-family,Asian-pac-islander,Male,77954,1489,56,Trinadad&tobago,>50k
58,?,1447888,Assoc-voc,16,Widowed,Priv-house-serv,Wife,White,Female,39266,3843,30,Laos,>50k
19,Local-gov,1233505,12th,13,Never-married,Other-service,Other-relative,White,Female,15555,3626,2,Columbia,>50k
73,Self-emp-inc,848803,Assoc-voc,10,Never-married,Prof-specialty,Other-relative,Black,Male,44121,2331,47,El-salvador,<=50k
70,Without-pay,608522,10th,3,Married-af-spouse,Transport-moving,Not-in-family,Asian-pac-islander,Female,4094,199,30,South,<=50k
79,?,836202,11th,4,Married-civ-spouse,Handlers-cleaners,Unmarried,Black,Male,79568,3341,49,Honduras,>50k
29,Local-gov,1366434,Hs-grad,14,Widowed,Exec-managerial,Not-in-family,White,Male,54847,4356,8,Nicaragua,<=50k
23,Self-emp-not-inc,339377,11th,10,Married-spouse-absent,Farming-fishing,Husband,Asian-pac-islander,Female,60261,1075,13,Guatemala,>50k
80,State-gov,557255,Prof-school,5,Married-af-spouse,Adm-clerical,Husband,Asian-pac-islander,Female,55925,731,50,China,>50k
18,Without-pay,383628,Prof-school,13,Separated,Tech-support,Not-in-family,Asian-pac-islander,Female,63402,1545,3,Hong,>50k
57,State-gov,771037,10th,3,Married-af-spouse,Farming-fishing,Other-relative,Black,Male,11443,2108,10,Italy,<=50k
22,Federal-gov,1267322,Preschool,14,Never-married,Sales,Other-relative,White,Male,83624,4092,1,Yugoslavia,>50k
39,Federal-gov,359047,Assoc-voc,14,Widowed,Tech-support,Other-relative,Asian-pac-islander,Female,55283,2194,14,Peru,>50k
52,Self-emp-not-inc,116039,9th,4,Married-spouse-absent,Priv-house-serv,Own-child,Amer-indian-eskimo,Female,24928,229,15,Hungary,>50k
48,Self-emp-inc,515824,Prof-school,9,Never-married,Machine-op-inspct,Wife,Asian-pac-islander,Male,47282,36,20,Scotland,>50k
46,Private,1302433,Masters,16,Widowed,Prof-specialty,Wife,White,Female,89206,4025,33,Dominican-republic,>50k
19,Federal-gov,751342,Prof-school,6,Married-civ-spouse,?,Other-relative,Black,Female,37791,3444,9,Japan,<=50k
17,Self-emp-inc,888364,Masters,11,Married-spouse-absent,Protective-serv,Other-relative,Other,Female,4689,3610,7,Ireland,<=50k
26,State-gov,121353,Masters,3,Married-civ-spouse,Craft-repair,Not-in-family,Amer-indian-eskimo,Female,57678,0,13,Cambodia,<=50k
17,State-gov,720363,1st-4th,5,Married-spouse-absent,Tech-support,Not-in-family,Black,Male,54847,1754,12,Portugal,>50k
66,Never-worked,567492,10th,3,Divorced,Machine-op-inspct,Other-relative,Asian-pac-islander,Male,46176,1602,35,Honduras,<=50k
55,?,298233,9th,12,Never-married,Exec-managerial,Husband,Amer-indian-eskimo,Female,56393,599,25,England,>50k
64,?,346719,Masters,8,Married-spouse-absent,Exec-managerial,Husband,Asian-pac-islander,Male,61963,2270,23,Guatemala,<=50k
54,Local-gov,431748,Assoc-acdm,1,Married-af-spouse,Priv-house-serv,Not-in-family,Asian-pac-islander,Male,13685,954,51,Cuba,>50k
62,Private,1178748,Assoc-acdm,11,Separated,Other-service,Other-relative,Other,Female,84395,3848,35,Nicaragua,>50k
73,Private,212432,1st-4th,2,Married-af-spouse,?,Own-child,Amer-indian-eskimo,Female,23781,0,31,Nicaragua,<=50k
45,Local-gov,925642,Masters,11,Never-married,Transport-moving,Husband,Other,Male,44860,2802,32,Poland,<=50k
51,Without-pay,986192,5th-6th,11,Married-spouse-absent,Protective-serv,Husband,Other,Female,66241,3183,26,Outlying-us(guam-usvi-etc),<=50k
90,State-gov,240624,10th,5,Married-af-spouse,Priv-house-serv,Own-child,Amer-indian-eskimo,Male,35378,367,53,Guatemala,>50k
76,Federal-gov,1071317,Preschool,4,Married-civ-spouse,Prof-specialty,Own-child,Other,Female,47746,1933,40,United-states,<=50k
89,Self-emp-not-inc,1384549,11th,12,Never-married,Handlers-cleaners,Husband,White,Female,80704,4289,60,Iran,<=50k
45,?,671490,Assoc-acdm,11,Never-married,Other-service,Unmarried,Black,Female,94204,1653,27,Trinadad&tobago,>50k
67,Never-worked,1272746,Assoc-voc,15,Widowed,Handlers-cleaners,Not-in-family,White,Female,44371,3818,64,Ireland,<=50k
87,Without-pay,763851,10th,11,Never-married,Prof-specialty,Wife,Black,Male,89969,2842,44,Honduras,>50k
65,State-gov,976765,Assoc-voc,10,Never-married,Farming-fishing,Husband,Other,Female,32086,2927,41,Yugoslavia,<=50k
79,Private,149770,11th,5,Married-af-spouse,?,Husband,Amer-indian-eskimo,Male,63049,421,53,Holand-netherlands,<=50k
67,Self-emp-not-inc,257045,Assoc-voc,13,Separated,Protective-serv,Own-child,Amer-indian-eskimo,Female,17590,1125,27,Germany,>50k
69,Local-gov,1097364,11th,2,Divorced,Handlers-cleaners,Unmarried,Other,Female,69632,3430,38,Scotland,>50k
45,?,1245287,1st-4th,12,Separated,Adm-clerical,Not-in-family,White,Male,9442,3716,19,Canada,>50k
81,Private,871269,12th,8,Married-spouse-absent,Adm-clerical,Husband,Black,Male,10970,2660,52,South,>50k
26,State-gov,764132,Bachelors,15,Widowed,Prof-specialty,Husband,Black,Male,60564,1371,9,Canada,<=50k
59,?,850992,Prof-school,8,Married-spouse-absent,Machine-op-inspct,Wife,Black,Female,3019,1366,39,Yugoslavia,>50k
70,Without-pay,1245881,Assoc-acdm,11,Never-married,?,Own-child,White,Female,2725,3875,52,Germany,>50k
79,Without-pay,235373,9th,4,Divorced,Adm-clerical,Own-child,Amer-indian-eskimo,Male,55048,1352,60,Laos,>50k
55,?,487223,Assoc-acdm,10,Separated,Tech-support,Wife,Asian-pac-islander,Female,50438,1818,34,Cuba,<=50k
44,Private,1306752,Assoc-voc,9,Married-spouse-absent,Transport-moving,Husband,White,Male,67147,3712,27,Canada,<=50k
39,Self-emp-inc,366410,10th,16,Widowed,Tech-support,Not-in-family,Asian-pac-islander,Female,57360,991,16,Hong,>50k
48,Local-gov,1460706,1st-4th,9,Married-spouse-absent,Armed-forces,Wife,White,Male,17786,3101,41,Hong,<=50k
