age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
20,Private,112668,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,20,United-states,<=50k
24,Private,73514,Some-college,10,Never-married,Sales,Not-in-family,Asian-pac-islander,Female,0,0,50,Philippines,<=50k
21,Private,221157,Hs-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,30,United-states,<=50k
33,Private,264554,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-states,>50k
25,Private,224943,Some-college,10,Married-spouse-absent,Prof-specialty,Unmarried,Black,Male,0,0,40,United-states,<=50k
34,Private,193172,Hs-grad,9,Never-married,Sales,Own-child,White,Female,0,0,35,United-states,<=50k
27,Private,176683,Hs-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,48,United-states,<=50k
18,Private,231562,Hs-grad,9,Never-married,Sales,Own-child,White,Female,0,0,33,United-states,<=50k
31,State-gov,255830,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,Black,Female,0,0,45,United-states,<=50k
51,Self-emp-inc,166459,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-states,<=50k
61,Private,84587,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-pac-islander,Male,0,0,40,United-states,>50k
40,Local-gov,166893,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,40,United-states,>50k
29,Private,52199,Hs-grad,9,Married-spouse-absent,Protective-serv,Not-in-family,White,Male,0,0,40,United-states,<=50k
47,Private,178341,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,46,United-states,>50k
55,Self-emp-not-inc,204502,Hs-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,United-states,<=50k
27,Private,215014,Hs-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,Mexico,<=50k
26,Private,172063,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,24,United-states,<=50k
62,Private,257277,Hs-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,38,United-states,<=50k
82,Private,147729,5th-6th,3,Widowed,Other-service,Unmarried,White,Male,0,0,20,United-states,<=50k
27,Self-emp-not-inc,115438,Hs-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,Ireland,>50k
26,Private,138537,11th,7,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,50,United-states,<=50k
43,Private,245317,Hs-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-states,<=50k
27,Private,420351,Hs-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-states,<=50k
18,Private,41794,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,20,United-states,<=50k
24,Private,163595,Hs-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-states,<=50k
23,Local-gov,117618,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,24,United-states,<=50k
36,Private,179358,Hs-grad,9,Widowed,Handlers-cleaners,Unmarried,White,Female,0,0,30,United-states,<=50k
34,Self-emp-not-inc,31740,Hs-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-states,<=50k
49,Private,186009,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,43,United-states,<=50k
51,Private,173754,Hs-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-states,>50k
36,Self-emp-inc,200220,Hs-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,55,United-states,<=50k
34,Private,341954,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-states,>50k
31,Private,183000,Prof-school,15,Never-married,Tech-support,Not-in-family,White,Male,0,0,55,United-states,<=50k
39,Private,237713,Prof-school,15,Married-civ-spouse,Sales,Husband,White,Male,0,2415,99,United-states,>50k
18,?,352430,11th,7,Never-married,?,Own-child,White,Male,0,1602,30,United-states,<=50k
30,Private,381153,Hs-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-states,<=50k
61,Private,159046,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-states,<=50k
30,Private,152453,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Mexico,<=50k
49,Private,36032,Some-college,10,Never-married,Exec-managerial,Not-in-family,Black,Female,0,0,40,United-states,<=50k
54,Private,123011,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-states,>50k
26,Private,259138,11th,7,Married-civ-spouse,Other-service,Wife,White,Female,2407,0,36,United-states,<=50k
24,Private,200967,Hs-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,36,United-states,<=50k
39,Private,123417,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,60,United-states,<=50k
39,Self-emp-not-inc,189922,Hs-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-states,>50k
23,Private,307267,Masters,14,Never-married,Other-service,Not-in-family,White,Female,0,0,10,United-states,<=50k
35,Private,953588,Hs-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-states,>50k
51,Private,305673,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Canada,>50k
90,Private,226968,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-states,<=50k
22,Private,227603,Some-college,10,Never-married,Prof-specialty,Unmarried,White,Female,0,0,30,United-states,<=50k
43,Private,171841,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-states,>50k
61,Federal-gov,91726,Masters,14,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,United-states,>50k
33,Private,226267,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,Mexico,<=50k
25,Private,362912,Some-college,10,Never-married,Craft-repair,Own-child,White,Female,0,0,50,United-states,<=50k
21,Private,147655,Hs-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-states,<=50k
56,Self-emp-inc,267763,Hs-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,?,<=50k
