age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
310,sfmUzpNH,1872,KNSko,1671,Qrc,aPwxJBEkWM,gHHaHu,YMe,kovWjTaP,6181.0,5345.0,9965,IRNn,zMGhQD
8451,DJBsMPh,3091,gvzzkUhI,2363,qBESoyA,dSxcLfkn,vOAtbxfUy,LSVNOUIj,GgWbY,,,4857,XSdsenhv,tqGuB
4478,AZf,5845,xZj,4205,NDBnoWHF,BpGfVZbz,EIRsI,QHeWEsDnAO,ZptMg,7368.0,5791.0,4153,Fisv,TFBSnfXIRX
1287,UjnvQHm,7513,OqrMIyWVo,1259,dErJU,JagiB,ZvdaRfYIQ,UmFOiTxm,RCTQ,,335.0,4732,CIpd,rVQSIdzUO
6097,eLQIu,3616,sMq,4664,KWUuL,rCcUQWzc,YUlLxWa,asn,YHR,,7602.0,8457,xWUDzb,eNSWd
1461,SUHNlZ,7313,AFLeRO,8686,NeodjmRFp,DpVqC,oyb,AbLWo,mVCxsPK,,3991.0,4915,Srhj,Yzhd
6799,ViUMXUQzz,6488,vCvv,190,UjuahCC,rOCFB,jreIvZW,eddmsL,AlWA,6943.0,2635.0,2144,bwV,nrQqAqAwO
5333,UAm,1308,WBrMxCCNRG,4046,fUMLieF,KWZaA,Imuf,oyIF,LJlC,9977.0,4473.0,2808,BhWPZDtx,wMdmNR
4664,aYVzjHmQi,5134,gZZMadpDF,2044,qINduQod,OjuQNVkD,axtDLs,JmTkSU,eUaxTzsV,6859.0,9825.0,5256,wUoJbf,TkdLURIph
5368,mcEhYFX,3533,mwHrrFbVm,4088,ZIPX,wfc,EZYbp,CwgycJZbBl,hyPytwx,7149.0,0.0,3409,vDI,dxaZG
6266,QwuWd,5037,aHKpUIzgL,4677,MfUMNXc,mfteC,npwdKUYQuL,SGMBCHOh,XdamZXSQBJ,2322.0,,8263,NZU,QTmAPVgTy
6229,ZIWr,301,itjCpO,1316,gfr,TuW,Wke,nstNEcI,hzl,339.0,9999.0,1489,aIIVKkT,cEcwq
362,zni,3746,rpzBZ,1085,AwxZMdg,cPGLihNvT,MsVCXcibfH,wELtmY,tNazV,5128.0,1248.0,3357,pcaM,aVT
7799,JZMe,6506,gIJ,2666,JAXqMK,onbynTOFMH,EfqPB,PJnAAZN,VZZyeaKlYy,7308.0,,5700,XToMoSSxCc,aSsDeQz
3882,hrgTuGu,8236,EtgAT,3709,ZhDtdC,oHA,vMJGRuj,ecUAMcU,mxN,5096.0,9873.0,5274,KdkmjRzahu,NCIzHhF
2725,cjNQ,681,DBLIzJ,2868,AUSNRRXoO,NZc,slXICWHAl,Vjxn,bmpB,0.0,3550.0,8636,XeamPrSSXB,GbqNAE
6984,yUDFnRWuw,3567,ArHfzZ,6752,hSjQqwK,LEbym,uFbt,HrgMAx,KwRsStnfq,0.0,4799.0,5803,VGOblCUuZm,Dzdq
9900,JVqwohFqn,2336,HnKJdR,8989,qKsgk,lBcyLewXo,bDfQ,aAiVcbYf,oMwRNPY,,5249.0,8902,XeXmfCUni,IeKazRPnB
3752,NweDcF,6088,sagil,34,ncH,tFlFbPm,huxFYZY,SVBk,ZrqXRCVd,9928.0,3164.0,2453,ToUm,lBaNJUVz
5317,DpA,945,AwKUD,927,WeuH,KhkMVVCwmz,CkHAayhgsv,BnSuNtddA,bLDKsPvQLN,9573.0,,2271,gmsEuQKq,nzLNBYIuu
9536,sChH,7514,wtnANho,8370,lwWgMCJ,pbU,uWz,DvwF,DJve,2156.0,8396.0,8560,GHcYPIIHMe,JmXuRV
9699,ChiCCbxvt,8551,sVHlY,3033,kSiA,GGPAMywYBu,XnKpSGd,shXYhlV,bSvEOrDDRs,4587.0,1583.0,1982,dFK,mXD
5525,VzGv,9263,GEEnKBmWS,3643,NpRdkP,ldUgJIRytJ,VQroDRIf,BYsRlT,iQAXmQD,7470.0,7600.0,4898,iTb,dKDUgr
1742,rcMr,7026,tOUnYMD,8984,OfnfY,Dvfjo,JZITSbVRPD,Xcyqyf,pqFUSX,6947.0,9834.0,5591,Mel,LGvBIEM
3112,eiveJ,7800,TnJcqgLqO,2189,rcsPvKPI,EfBC,DjZL,Sev,yHdGeT,5722.0,9749.0,4340,WhxmfKp,LLhPxawEga
8678,mIHblEP,6107,VJeZiqmH,4102,NYEkAnCkkO,pQqQs,GMpPrPbNen,TLvfZWGRLs,kZS,0.0,7043.0,5788,BZYX,astAqe
7128,hwLwT,9551,IJvbiwwNg,8839,OlsP,fLAzss,gvdCGmRf,pcBS,amJXfjvW,246.0,0.0,1637,TmQiGsJ,dDVeQhqI
2885,hcn,1735,uFHTDX,1024,zleLYfRKs,ohy,fjhxU,FkOShExsvr,lYcLY,3550.0,4333.0,7311,EaA,jxaPhakcq
5619,IXXf,4766,tclkty,8830,bcdWQPaqKF,umoA,fwxw,nom,xKBV,8422.0,0.0,9227,aeTjywgUG,IUwKkdgy
8488,fIb,9951,nWMniMwhx,4431,pUPKF,GMXXum,FXJtpIdf,gliN,RuFnUqH,3120.0,3949.0,8795,mnhoDxmY,OCwc
7188,ANMsBy,6100,OlEFCRheVc,3179,uCLzfmm,OaQIJoRqT,woDKVeFB,sseyOs,XBsRM,,,3436,iVjveSDVto,xWUNZYgN
6704,GwPOyTfo,593,pAdMsn,8329,fFb,GeRoACO,JUzCMN,zQJTb,MTF,3347.0,9097.0,9754,VvwA,TOhkglRw
1523,lngOLRO,8404,afTh,3291,LGImYibC,wBPXLhthW,bzAlddrhXV,kBFCl,yGeaXY,5675.0,6649.0,2168,ucwcJN,wbLB
5728,KDzDr,2298,nGPSF,8393,DcphxaA,wHgubO,ypAM,snxuvvRXX,pKfg,3934.0,4450.0,3793,VJVGn,QzaZJcjJO
770,AzilXBobv,9170,NEQ,8130,hazsbzRS,TJMVaVN,WXxIE,cSzGZRRu,ZmpmZhu,9401.0,470.0,4777,EIOgppkPD,KLcwKhw
7828,igJdTSH,9122,ZztW,3765,wBMfTyN,Ufp,NxUztmrDu,OSyGTfB,MBFHodFAw,753.0,0.0,5479,FYEkvE,rCCPpkuR
3613,GxXf,8645,QHrfMhLUO,5566,zTu,AmE,tVCf,DNO,AUYSnVnQP,8451.0,1724.0,2813,YMajYF,Kcs
4312,nhsIH,995,zJIoDXQ,4233,hnXUrCaYZG,aNmTDXNObp,gKpbFt,jKqOnl,zTZZKJw,0.0,5879.0,3038,aBc,YRsElIKs
6997,SPBX,7390,yjjmGyP,2622,itXQLtTLSD,DLmEPDOuH,ZdPao,YfltBeU,Oqd,7097.0,9212.0,5650,tGVBn,xBglTnoP
1226,ADgsSCv,206,HeSLp,1556,iWGCTtPmn,EzkrL,SQZgXQJ,EhNtSdjk,dGfGuz,3856.0,3373.0,3159,hjRkSn,qAvepMgd
7797,AspdOPmgl,8905,sNhVulVaG,642,HWYoseO,RiPTvh,hgwGZqVZD,JjYaUpBuPq,FIqqainJuR,6273.0,9871.0,3966,KydwRO,SyMX
3153,xzEFe,8621,MybEi,2319,puqHLuBe,rBQUaEvy,bsxatdutm,XblOUKPhz,nylJpN,4289.0,5943.0,3501,qbY,tkYr
7460,CNaeq,3369,OEXB,7438,GNeisP,FQpRzpTcKO,tuBEVFnV,BRiaAmi,xzNBzwd,8615.0,7743.0,4517,CjbA,EBvfgO
7672,OGf,3594,rzY,4126,rZaTeqdMVV,DhhbPHR,NBtKDSnu,MIlB,GPBCNGB,1385.0,8153.0,8930,fKH,ioYDx
8602,RsH,9802,HBr,8121,gxKROykhUT,uldtA,QeyLZmj,ytRqg,cCdxSFM,,0.0,7861,cCjMkJztxp,XzvJvu
8068,nHRMLXjN,2919,hqsZ,5571,cfwmS,tIWsvvnPWl,tAW,bkQSeFi,uhbWU,3462.0,4309.0,4959,BFmd,nuU
1953,mOeEEsyee,2907,tzedOwAiM,3207,JuFMBXgRgO,VlbzRYTuAD,zptaGTX,BgOto,gCK,6775.0,8307.0,6232,bmAjtr,hxvqjdeGF
7020,yDrP,7295,zcib,2312,EoiqYuWlr,wIArpqqY,bIBrMoZ,Gmrpzc,TZNREMKcwo,,8631.0,7547,qJmpZGYZ,rfNbVfqO
1227,LdUsRWGIqg,9423,ZqAVroDkXU,1581,pxPvs,cbA,fgdWEAh,dTsXIoJ,run,6200.0,,9050,AzSTpMScXX,qAXhgCxK
928,JWbnRWo,5309,kJPTXNL,8434,dCh,Dsjz,vTEcIy,HBgetIdo,UTg,1830.0,9676.0,3631,NBMeD,DaIdiIi
4250,vsXVjbILzF,3113,Cra,1666,tMMDp,upSeKtTB,kshlqvB,lZw,UKqQU,,9896.0,6018,iiTMTkwALu,VPGDsWYWKG
8545,ZUAxL,4111,ulRtIVVi,2911,oCzVeiAJ,tBn,ofr,ZDEiSZS,GtJEmdsz,707.0,6352.0,6227,lHKEa,QwxROKP
4668,DIOgDFwhS,4347,zGX,4012,HmAd,dzDSPWFMj,DDruy,uOQeAu,rdmg,3945.0,2008.0,4711,AiFkDdg,YHckMQFr
5904,IjCROU,5179,JfyBWt,1434,dmzHKIdwA,DsHQ,FoDC,Bdxriy,kAvacGsa,3982.0,9853.0,7989,BzmOdF,APGRTXCx
1139,guIClcLBRs,8404,nKUAEWB,1569,UMFmxLyLCH,FfnB,gOAk,ZXn,JlYmc,7681.0,1231.0,2967,dTOdhT,hRlb
7527,wDQU,7369,GTZsb,2429,NcAoJzX,bLVUz,ZAqNLVk,HUcr,SkMEsaEJX,8651.0,,3942,eWaCOdHSnl,iYIZW
7983,WendPFoVm,3343,joBFFfAKjl,5356,rxxNAkRVm,RreDRx,PYeR,hCVfyv,QOkrIPe,5028.0,980.0,50,juQwHyWOXP,UjPKq
9098,PJmDffK,6586,IsTLz,9278,XNyjohRVz,MaDBoKrzmU,YZXO,lQhqM,QZPTQzczsx,351.0,,8605,Vmxllqtb,PgmdpA
5264,fuCuQawdn,3471,jRJRmw,6480,sjJY,EdNWgHN,xpEQOzmTL,aTaOSN,FXcmJ,3499.0,4831.0,5759,BDyS,PZA
9011,YveDtgF,4769,hlIuK,2206,JPv,qAbuBeGHKz,WGWCGa,TUhUsKeio,SeBjjkx,,5598.0,4295,vhqHebc,ZpdHlhei
4295,jLzi,8252,uAEhr,1778,phlSWpPLm,EEakvQ,cWPoCgBw,tajFdWvkON,yGA,9149.0,3351.0,9498,tBQyGYZkX,lliiYDO
6950,iusCd,3849,ftXfv,2692,jeL,mvsJ,MJolln,gyF,Jtjy,9310.0,0.0,260,QoBCESsW,yLZ
211,Nmc,4150,ajbLpf,7974,cpur,PpZkfFEz,KDkpp,rTbuHXngf,Rwiu,2901.0,2968.0,6939,GZrm,ttHolPi
5981,OgvceuMMa,1558,elbhdcfLYP,6618,ghVFCKuYd,DqCr,yLBEgzjXR,sfcLp,nxDDXMvx,5990.0,3537.0,8319,KrB,JKmdumGf
6121,XTa,5827,wwNHPc,7661,pEbhP,YrVLfVjg,eBhtuMdEJJ,FxOcnY,SWNAdjpFqn,9428.0,,4689,lRi,NOY
6804,swYJnkr,8396,zZiaYZIqJn,7542,FvinfRokyU,sFVHiz,dofqIiTbq,LptUrEKK,OZXuXQX,418.0,8551.0,1619,niWbEWWOz,icjBHNX
4414,FeyJSGAC,1482,vWCUuODFe,6438,wPsCv,DKj,PkUBiOmYg,zapNhwIEw,QFwU,223.0,0.0,6574,mQUFbGI,aiGUzhvwmH
4513,mZPFxArTp,9560,tlGqqY,5066,gHwPMNx,QsmkwVA,BoAzrsmsUz,DsJn,PjXXsibled,5014.0,7147.0,5566,lnMk,rhYxzDMQN
237,soDQdh,2076,gcNO,5976,qoYTBgBLE,aaBRQ,XvSAbxwEt,eYFsybIu,zMuZUkcB,7509.0,5178.0,8048,WdzncViGQ,oCQnLXCfkG
833,qPy,1576,bMkJLW,7985,bkLH,Txa,PDozSGDj,kLkrELA,DXnH,7515.0,,166,YhZm,UPVHyZ
2457,QangrTiXSV,4780,YbobIgSlrZ,333,XcPulsxtfr,sDfKoUMe,ZRrrHy,srLfJKedAI,UnaYZrrF,0.0,2772.0,3628,izibf,PTa
9682,wmgdTrTO,6288,xBZfJkfGb,6282,lpEvYkonU,DgS,DKC,gocN,eFfjzfu,9914.0,1453.0,9707,lmU,oHaATTa
2903,EwduQXdXQ,4830,WwsOC,8512,IcuwolI,BpfJ,TpCFK,gDeIrPNlfR,jWH,1705.0,0.0,3391,AOwlNi,WklCx
2816,GUPqpexA,1268,PHNONlKUMP,291,ndx,HsiVPlpzdj,iYRyL,PAdNrI,EVZ,9244.0,9901.0,201,BRyh,oZHfPBHBOp
7095,zJfpEIY,426,wmKQDgL,636,HpNRy,YVUONkSeTG,TfbjX,GpYJo,VLdjinNLR,,,3919,bbhxMv,pKnxX
9078,AlEVUVf,944,WZvkqCPR,988,Djdpcar,NsJXRcBHa,blzA,doGQuT,UocfqZlmts,885.0,8364.0,2052,Ojv,tUdYMmkn
461,etLeziLBY,8053,tfpp,7143,PdIGn,Bit,EsJCyHKV,hrnEVt,ltdU,3579.0,,5055,CqAzT,OdDW
3979,MrdPyHFIc,2053,HrfKxss,7928,uaoykHnTK,mYWQBUyWn,KpN,aGDBdg,XzJXPP,8348.0,,3034,yJYeqJ,baXZkrGwnZ
4740,KXtDj,9964,dZgfUvKEWD,4317,UeCPJDGBRg,rymXIOcV,uqI,ssMC,qDH,8392.0,5850.0,8982,MfVWTWoDp,DYV
7489,JBtYLNIipf,7644,agh,4016,QFbcK,QaUymUfl,cKZTdjcTf,yUcH,ixYddlinvf,593.0,3786.0,2137,PPQvs,gMVoQH
7996,WQJLTit,3765,HRjLcgQN,4812,kJb,XcR,RORS,GsxL,FHsdvK,870.0,1951.0,2654,dKLcCZVsZ,tlpgXFnXc
1583,lCF,9086,ufsDHhGn,8739,kThXDo,docfpWy,jtFwOASI,TvbKNQAr,YqDCPugzsm,3829.0,7453.0,3586,BCv,FpvR
3712,DRtdxjjVY,1311,LvXRsU,6930,fcM,SBSqgovzkW,nNinQSPVPX,zqMjzTJccm,XrVwVVl,1114.0,,3425,mFUVii,tOiQ
2471,iIKCP,6927,SZQ,7425,NSuaS,BNcbM,TNKGwtrIu,FfQOlHpa,QTdJnbza,2403.0,9116.0,3253,riEzieI,RoivUnYnW
3004,gceW,7173,nmGlQg,5804,nNZl,uieslv,YZZFYEsUWi,TrC,jdIJeSh,,,9192,UeCTeCi,uLJkw
8459,ohzKCEL,8002,KSlbJBsVIs,8765,tpBQ,gJwaC,YXkyspY,QArdTA,ZSUdHg,5204.0,0.0,1766,BtNzQS,WnPvCrzN
808,nWcYoEh,9136,zHgjY,3414,xIrgBMopSs,yDbUwLRB,pMdCbmsuRI,UlTvlhDfg,nYhUe,7755.0,1382.0,7036,DMcYZG,EWZlusS
8460,Xxq,8773,yJPCfE,4341,agyUeBRErG,JswPxTKTk,RWsygfcC,iwJL,WnyFw,8686.0,2025.0,8555,ssmUet,YvgNOISwjZ
7692,ZgXNvpx,9010,xZcMyzaBWy,2174,EFST,EqVMwSCc,UJGW,dgTrq,EFQlnsB,,,3570,XMLMuQ,FYXSWBiZmt
201,iMk,9774,MYASs,6110,DAoxko,NAWbZmWnPl,kOJxEZbbyh,xGkQD,sUJY,3350.0,8882.0,6528,sTAEglLTYI,Xil
5281,fGYU,4,ewK,2421,TAHhYMBSL,lWKzWvGrxO,xAfeesc,wYQqtxf,OeHA,7800.0,3874.0,1311,vDuKrn,ReorhaICf
1843,aaekj,4369,wsNwt,4081,lhJRSC,kCy,DUZ,zKPOQN,FCyaiKfK,7835.0,9687.0,6275,ZRW,qWYVUaanq
5936,ollZsHMUC,259,DuAZYoNZ,8728,hopifaz,VpjwPv,mldlXmUp,xQybfeqluY,oJCmBziEt,8848.0,5171.0,8704,CQKYlH,NvADfdf
1433,qRXOLD,3426,swAQOL,9599,iaasPXHzM,fuz,UPGePnAW,VCtp,UXwSaud,0.0,6427.0,3329,bzhiyO,uColXjK
