age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
2286,uGBhfCMX,1176,Eja,6921,PSHHffKxK,NbKJwU,iPqUZWkIih,JcWfZfCib,Yvfyiru,8547.0,9788.0,5658,enn,oIAk
145,RxnnnijUXX,7984,diGb,5763,HBSrgSCawr,wnNxJeyB,HoQ,acOJv,HacMwSHYU,4597.0,7603.0,4164,mpCo,nILwl
8207,wTThJ,6249,gkhGvW,8055,HRQ,FVSiTYbtV,YPdeQ,nzOKz,qVKmz,7409.0,,7980,JAT,BCkdOF
1594,DUXuLTw,5340,OjVMa,7712,vEvAeXjYm,iueriL,omZBMamLFd,UtNNIJk,YAoeB,,4169.0,684,KlBWBb,Uygd
9295,PFMifsSes,5847,SgUCuxrPAm,4546,AazRD,bkrI,xJlZwVM,EgQgJZETS,vmSFwonQ,4057.0,7483.0,2861,qMGBC,ZisHlTEdYo
8572,fPHGB,9183,JszJp,1993,VtTHAVS,ZBeGMEK,aectvIBh,ferXaKUI,zvtuLbQ,5398.0,2643.0,2575,iLhG,HHoQzs
424,dyv,9191,zSGgju,5284,hJOBCAha,eRzgAoShe,SRoV,qKNZy,yjwOjqziQX,3486.0,2958.0,6010,LpmlAibhpg,qzaz
5791,tQgnBUFWOE,7352,NjDpD,1115,DLj,tbtkxIbHUb,GFs,UugAjBgq,LrvxzpIAY,2529.0,6589.0,3503,uNtaDD,ObdHdO
4690,meKSI,7638,ThTWOk,5981,gGaQKGW,nnRusYSoy,THlYCfcP,YmPTsDQ,OspyRylf,9317.0,7926.0,9717,awvGzF,mLGpqdsj
969,ZmT,9017,ZJnKIposl,5189,bysFKhVJ,qhCrF,WzWmjCrZ,AgjP,EeYNJ,6767.0,275.0,4914,VJVnXUY,IipAjyf
5023,hHFbEmhXcK,7202,Sip,1321,ihSyS,nHRMsi,nNHoKaamt,MZJshdCwSY,LUCLwbvZoL,4415.0,6162.0,2144,JeeEjTEL,Zkdp
314,sazrPyIz,586,SGXvI,4622,tgTSDGixw,JdswDEwo,RAoSh,nrHeif,xKaGHrVYx,2854.0,4316.0,7676,fcOIoE,KpdeLifMN
9474,LgYw,3888,khbyvYa,563,KSSK,RhrXrJZc,FWqGAylc,FFcmb,LXt,4306.0,8841.0,126,FyYeAUB,hqr
