id,gender,customer-type,age,type-of-travel,class,flight-distance,inflight-wifi-service,departure/arrival-time-convenient,ease-of-online-booking,gate-location,food-and-drink,online-boarding,seat-comfort,inflight-entertainment,on-board-service,leg-room-service,baggage-handling,checkin-service,inflight-service,cleanliness,departure-delay-in-minutes,arrival-delay-in-minutes,satisfaction
117216,Female,Loyal-customer,60,Personal-travel,Eco,370,1,5,1,2,3,5,1,3,3,1,3,3,3,2,0,0.0,Neutral-or-dissatisfied
96001,Male,Loyal-customer,52,Business-travel,Business,3771,3,4,3,3,2,4,5,4,4,5,4,3,4,5,0,0.0,Satisfied
1482,Male,Loyal-customer,14,Personal-travel,Business,737,4,3,4,1,1,4,1,1,2,3,1,1,5,1,0,3.0,Neutral-or-dissatisfied
47797,Male,Disloyal-customer,22,Business-travel,Eco,462,3,4,3,4,1,3,1,1,3,3,1,3,2,1,0,0.0,Neutral-or-dissatisfied
12808,Male,Loyal-customer,26,Business-travel,Business,3875,2,3,1,3,2,2,2,2,3,3,4,3,4,2,10,16.0,Neutral-or-dissatisfied
2390,Female,Disloyal-customer,23,Business-travel,Business,641,4,0,4,4,5,4,5,5,3,4,4,5,5,5,0,0.0,Satisfied
102714,Female,Loyal-customer,33,Personal-travel,Eco,365,4,5,4,4,3,4,1,3,3,3,5,5,4,3,13,8.0,Satisfied
612,Female,Loyal-customer,48,Business-travel,Business,2311,4,4,2,4,2,4,4,5,5,5,5,5,5,3,8,12.0,Satisfied
80745,Male,Loyal-customer,9,Personal-travel,Eco,393,2,2,2,2,2,2,2,2,4,3,2,3,3,2,0,0.0,Neutral-or-dissatisfied
75049,Female,Loyal-customer,21,Business-travel,Business,1592,4,4,4,4,5,5,5,5,4,4,3,3,5,5,0,0.0,Satisfied
7752,Female,Loyal-customer,39,Business-travel,Eco,613,4,5,5,5,4,4,4,4,5,3,2,2,1,4,0,1.0,Satisfied
26266,Male,Loyal-customer,32,Business-travel,Business,859,3,1,3,3,3,3,3,3,2,1,4,2,3,3,0,0.0,Neutral-or-dissatisfied
70718,Female,Disloyal-customer,37,Business-travel,Eco,675,2,2,2,3,2,2,2,2,1,2,3,2,3,2,0,0.0,Neutral-or-dissatisfied
60584,Female,Loyal-customer,42,Business-travel,Eco,890,2,3,3,3,3,5,4,2,2,2,2,2,2,2,0,3.0,Satisfied
88627,Male,Loyal-customer,32,Personal-travel,Eco,250,2,4,2,2,3,2,3,3,5,2,5,5,5,3,35,24.0,Neutral-or-dissatisfied
3989,Male,Loyal-customer,20,Personal-travel,Business,419,1,2,1,3,3,1,3,3,2,1,4,2,3,3,19,22.0,Neutral-or-dissatisfied
126377,Male,Loyal-customer,28,Personal-travel,Eco,328,5,2,5,3,2,5,2,2,2,3,4,2,3,2,0,0.0,Satisfied
97680,Male,Loyal-customer,54,Personal-travel,Eco,491,3,5,3,3,2,3,5,2,3,2,4,4,5,2,0,3.0,Neutral-or-dissatisfied
124515,Female,Loyal-customer,59,Business-travel,Business,3331,3,4,4,4,3,2,2,3,3,3,3,3,3,3,19,9.0,Neutral-or-dissatisfied
61624,Male,Loyal-customer,40,Business-travel,Business,1608,4,2,2,2,2,4,4,4,4,4,4,3,4,4,0,0.0,Neutral-or-dissatisfied
20501,Female,Loyal-customer,50,Personal-travel,Eco,139,4,0,4,1,3,5,5,4,4,4,4,5,4,3,0,0.0,Neutral-or-dissatisfied
16059,Male,Loyal-customer,26,Business-travel,Eco,744,3,1,1,1,3,3,4,3,1,4,3,1,4,3,0,0.0,Neutral-or-dissatisfied
89071,Female,Loyal-customer,51,Business-travel,Business,1947,4,4,4,4,5,3,5,4,4,4,4,3,4,5,0,0.0,Satisfied
103578,Female,Loyal-customer,60,Personal-travel,Eco,689,0,5,1,4,5,5,4,3,3,1,3,3,3,5,0,0.0,Satisfied
116378,Male,Loyal-customer,40,Personal-travel,Eco,417,2,4,2,3,3,2,3,3,4,5,3,1,3,3,31,38.0,Neutral-or-dissatisfied
32999,Female,Loyal-customer,7,Personal-travel,Eco,216,3,3,0,4,2,0,1,2,1,2,3,1,3,2,0,0.0,Neutral-or-dissatisfied
79710,Male,Loyal-customer,18,Personal-travel,Eco,760,2,5,2,3,5,2,5,5,5,2,4,5,4,5,0,4.0,Neutral-or-dissatisfied
76442,Female,Loyal-customer,35,Personal-travel,Eco,405,3,5,3,1,4,3,5,4,4,5,4,5,5,4,0,0.0,Neutral-or-dissatisfied
18464,Female,Disloyal-customer,39,Business-travel,Business,201,4,3,3,4,1,3,1,1,2,5,5,3,1,1,0,0.0,Satisfied
18483,Female,Loyal-customer,53,Business-travel,Business,1907,1,1,1,1,2,5,5,4,4,4,5,1,4,2,6,13.0,Satisfied
33037,Female,Loyal-customer,31,Personal-travel,Eco,101,4,4,4,5,4,4,4,4,5,3,4,5,5,4,0,0.0,Satisfied
56923,Female,Disloyal-customer,54,Business-travel,Business,2454,4,4,4,3,4,4,4,4,5,3,5,5,5,4,34,38.0,Satisfied
20633,Male,Loyal-customer,30,Business-travel,Business,2911,2,2,3,2,4,3,4,4,4,5,5,5,3,4,1,25.0,Satisfied
77970,Female,Loyal-customer,31,Business-travel,Eco,214,3,4,5,4,3,3,3,3,1,3,2,1,3,3,8,13.0,Neutral-or-dissatisfied
782,Male,Disloyal-customer,39,Business-travel,Business,89,5,0,0,3,1,0,1,1,5,5,4,4,5,1,23,38.0,Satisfied
70835,Female,Disloyal-customer,16,Business-travel,Business,761,5,4,5,2,3,5,3,3,3,3,5,3,4,3,0,44.0,Satisfied
54377,Male,Loyal-customer,35,Business-travel,Eco,305,3,4,4,4,3,3,3,3,1,3,3,2,4,3,5,0.0,Satisfied
98921,Female,Loyal-customer,44,Business-travel,Business,2268,1,1,1,1,5,4,5,4,4,4,4,3,4,3,27,27.0,Satisfied
100685,Male,Loyal-customer,22,Business-travel,Business,677,4,4,4,4,5,5,5,5,1,2,2,5,1,5,0,0.0,Satisfied
