id,gender,customer-type,age,type-of-travel,class,flight-distance,inflight-wifi-service,departure/arrival-time-convenient,ease-of-online-booking,gate-location,food-and-drink,online-boarding,seat-comfort,inflight-entertainment,on-board-service,leg-room-service,baggage-handling,checkin-service,inflight-service,cleanliness,departure-delay-in-minutes,arrival-delay-in-minutes,satisfaction
35003,Male,Loyal-customer,7,Personal-travel,Eco,1182,3,5,2,2,1,2,1,1,4,5,5,3,4,1,0,0.0,Neutral-or-dissatisfied
113419,Female,Loyal-customer,49,Business-travel,Business,3955,4,4,4,4,2,5,5,5,5,5,5,3,5,3,21,18.0,Satisfied
69150,Female,Loyal-customer,45,Personal-travel,Eco,2248,3,4,3,4,5,4,4,4,4,3,4,1,4,4,8,0.0,Neutral-or-dissatisfied
61845,Female,Loyal-customer,57,Business-travel,Business,1635,1,1,1,1,3,4,5,4,4,4,4,4,4,4,0,0.0,Satisfied
13120,Male,Disloyal-customer,20,Business-travel,Eco,427,1,0,1,2,4,1,4,4,4,3,1,4,4,4,3,0.0,Neutral-or-dissatisfied
1893,Female,Loyal-customer,66,Personal-travel,Business,285,2,2,2,3,4,3,4,1,1,2,1,4,1,2,10,7.0,Neutral-or-dissatisfied
39516,Female,Loyal-customer,48,Business-travel,Business,452,3,3,3,3,3,1,3,4,4,4,4,2,4,1,0,3.0,Satisfied
47901,Female,Loyal-customer,32,Business-travel,Business,329,1,1,1,1,5,5,5,5,5,3,1,5,5,5,0,0.0,Satisfied
119983,Female,Loyal-customer,41,Personal-travel,Eco,868,4,5,4,1,3,4,3,3,2,1,5,1,5,3,0,0.0,Neutral-or-dissatisfied
65353,Female,Disloyal-customer,50,Business-travel,Eco,631,3,4,4,3,5,4,1,5,3,4,4,4,3,5,10,0.0,Neutral-or-dissatisfied
99885,Male,Disloyal-customer,25,Business-travel,Business,738,0,0,0,2,1,0,1,1,5,4,4,5,5,1,96,65.0,Satisfied
117716,Female,Loyal-customer,32,Personal-travel,Eco,1009,1,4,1,5,4,1,4,4,5,4,5,4,5,4,1,0.0,Neutral-or-dissatisfied
127840,Female,Loyal-customer,59,Business-travel,Business,1262,5,5,5,5,3,4,5,3,3,4,3,4,3,4,0,0.0,Satisfied
127794,Male,Loyal-customer,46,Personal-travel,Business,1262,3,4,3,5,4,5,4,3,3,3,3,4,3,4,0,0.0,Neutral-or-dissatisfied
76482,Male,Disloyal-customer,23,Business-travel,Business,516,5,0,5,3,4,5,2,4,5,2,5,5,5,4,0,0.0,Satisfied
105686,Male,Loyal-customer,54,Business-travel,Business,1671,5,5,5,5,3,5,4,5,5,5,5,3,5,3,12,7.0,Satisfied
75987,Female,Loyal-customer,60,Personal-travel,Eco,297,2,4,2,3,2,3,1,5,5,2,5,5,5,1,38,25.0,Neutral-or-dissatisfied
127613,Male,Loyal-customer,39,Business-travel,Business,1773,1,4,4,4,4,2,3,1,1,1,1,4,1,1,0,0.0,Neutral-or-dissatisfied
100484,Female,Loyal-customer,28,Business-travel,Eco,580,1,2,2,2,1,1,1,1,3,4,1,2,1,1,28,20.0,Neutral-or-dissatisfied
121087,Female,Loyal-customer,47,Personal-travel,Eco,196,4,4,4,1,2,5,5,3,3,4,3,4,3,5,0,0.0,Neutral-or-dissatisfied
128616,Male,Disloyal-customer,30,Business-travel,Business,679,4,3,3,2,4,3,4,4,4,3,4,3,5,4,0,0.0,Satisfied
86322,Male,Disloyal-customer,42,Business-travel,Business,712,4,4,4,4,4,4,4,4,3,3,4,3,4,4,2,0.0,Satisfied
49953,Male,Loyal-customer,40,Business-travel,Eco,421,2,4,4,4,2,2,2,2,4,4,3,4,3,2,0,0.0,Neutral-or-dissatisfied
24129,Female,Disloyal-customer,65,Personal-travel,Eco,584,1,1,1,4,4,1,4,4,3,4,4,4,3,4,0,13.0,Neutral-or-dissatisfied
41587,Female,Loyal-customer,21,Personal-travel,Eco,1428,3,4,3,5,5,3,5,5,4,3,4,3,4,5,0,17.0,Neutral-or-dissatisfied
