id,gender,customer-type,age,type-of-travel,class,flight-distance,inflight-wifi-service,departure/arrival-time-convenient,ease-of-online-booking,gate-location,food-and-drink,online-boarding,seat-comfort,inflight-entertainment,on-board-service,leg-room-service,baggage-handling,checkin-service,inflight-service,cleanliness,departure-delay-in-minutes,arrival-delay-in-minutes,satisfaction
67331,Female,Loyal-customer,60,Business-travel,Business,1471,4,4,4,4,4,5,4,4,4,5,4,4,4,3,22,10.0,Satisfied
77943,Male,Disloyal-customer,22,Business-travel,Business,214,5,0,5,5,3,5,3,3,5,4,4,3,4,3,54,53.0,Satisfied
122215,Female,Disloyal-customer,23,Business-travel,Business,541,4,1,4,4,3,4,5,3,4,3,5,3,4,3,0,0.0,Satisfied
2113,Female,Loyal-customer,34,Business-travel,Business,3036,4,2,4,4,3,4,4,4,4,4,4,3,4,5,0,0.0,Satisfied
52591,Male,Loyal-customer,37,Business-travel,Eco,119,3,5,5,5,3,3,3,3,3,2,4,2,4,3,3,1.0,Neutral-or-dissatisfied
66407,Male,Loyal-customer,24,Business-travel,Business,1562,2,4,4,4,2,2,2,2,2,1,3,1,3,2,0,3.0,Neutral-or-dissatisfied
99142,Female,Loyal-customer,51,Business-travel,Business,3733,2,2,5,2,2,4,5,5,5,5,5,4,5,4,3,2.0,Satisfied
111466,Female,Loyal-customer,29,Personal-travel,Eco,836,3,1,3,3,4,3,1,4,2,3,2,1,3,4,0,0.0,Neutral-or-dissatisfied
53763,Female,Loyal-customer,55,Business-travel,Eco,1195,3,1,1,1,3,5,5,3,3,3,3,4,3,1,0,0.0,Satisfied
71772,Female,Disloyal-customer,20,Business-travel,Eco,1442,3,3,3,3,2,3,2,2,4,4,4,3,5,2,0,0.0,Neutral-or-dissatisfied
17479,Male,Loyal-customer,47,Business-travel,Business,352,4,4,4,4,5,4,3,5,5,5,5,2,5,5,4,0.0,Satisfied
79322,Male,Disloyal-customer,45,Business-travel,Business,1020,2,2,2,1,4,2,4,4,4,5,4,3,4,4,0,0.0,Neutral-or-dissatisfied
31509,Female,Disloyal-customer,47,Business-travel,Eco,967,1,1,1,4,3,1,3,3,2,4,3,1,4,3,0,1.0,Neutral-or-dissatisfied
6613,Female,Disloyal-customer,18,Business-travel,Eco,473,2,2,2,3,3,2,3,3,2,4,3,4,4,3,35,26.0,Neutral-or-dissatisfied
125378,Female,Loyal-customer,54,Business-travel,Business,1440,3,3,3,3,3,4,5,5,5,5,5,3,5,4,0,0.0,Satisfied
23344,Female,Loyal-customer,61,Personal-travel,Eco,674,0,4,1,2,3,4,4,1,1,1,1,4,1,5,0,0.0,Satisfied
92915,Female,Disloyal-customer,39,Business-travel,Eco,134,1,4,1,4,5,1,1,5,1,2,4,1,4,5,23,29.0,Neutral-or-dissatisfied
99930,Female,Disloyal-customer,45,Business-travel,Eco,764,4,3,3,4,4,3,4,4,2,5,4,1,3,4,59,69.0,Neutral-or-dissatisfied
39952,Male,Loyal-customer,49,Personal-travel,Eco,1086,4,2,4,4,4,4,4,4,3,4,4,3,4,4,0,0.0,Satisfied
99829,Male,Loyal-customer,54,Business-travel,Business,3250,4,4,2,4,3,4,5,5,5,5,5,3,5,3,0,0.0,Satisfied
87456,Male,Loyal-customer,45,Business-travel,Business,2948,4,4,4,4,3,4,4,5,5,5,5,4,5,4,0,0.0,Satisfied
47926,Male,Loyal-customer,59,Personal-travel,Eco,451,3,5,3,3,2,3,2,2,2,1,4,4,4,2,0,0.0,Neutral-or-dissatisfied
30544,Male,Loyal-customer,28,Business-travel,Eco,955,5,2,2,2,5,5,5,5,5,5,5,3,5,5,6,8.0,Satisfied
100744,Male,Loyal-customer,30,Personal-travel,Eco,328,0,0,0,3,2,0,2,2,5,4,5,5,4,2,0,0.0,Satisfied
29379,Male,Loyal-customer,36,Business-travel,Eco,2457,4,5,5,5,4,4,4,4,1,3,3,4,3,4,0,6.0,Satisfied
53546,Male,Loyal-customer,45,Business-travel,Eco-plus,2419,5,3,5,5,5,5,5,3,3,4,5,5,2,5,23,16.0,Satisfied
23018,Male,Loyal-customer,13,Personal-travel,Eco-plus,489,3,3,3,4,5,3,5,5,1,2,3,3,3,5,0,0.0,Neutral-or-dissatisfied
123484,Female,Disloyal-customer,18,Business-travel,Eco,2296,2,2,2,4,2,4,4,3,4,2,3,4,2,4,4,8.0,Neutral-or-dissatisfied
99075,Male,Loyal-customer,36,Business-travel,Business,181,4,3,3,3,5,4,3,2,2,2,4,1,2,4,0,0.0,Neutral-or-dissatisfied
