id,gender,customer-type,age,type-of-travel,class,flight-distance,inflight-wifi-service,departure/arrival-time-convenient,ease-of-online-booking,gate-location,food-and-drink,online-boarding,seat-comfort,inflight-entertainment,on-board-service,leg-room-service,baggage-handling,checkin-service,inflight-service,cleanliness,departure-delay-in-minutes,arrival-delay-in-minutes,satisfaction
70172,Male,Loyal-customer,13,Personal-travel,Eco-plus,460,3,4,3,1,5,3,5,5,4,3,4,4,5,5,25,18.0,Neutral-or-dissatisfied
5047,Male,Disloyal-customer,25,Business-travel,Business,235,3,2,3,3,1,3,1,1,1,5,3,1,4,1,1,6.0,Neutral-or-dissatisfied
110028,Female,Loyal-customer,26,Business-travel,Business,1142,2,2,2,2,5,5,5,5,4,3,4,4,4,5,0,0.0,Satisfied
24026,Female,Loyal-customer,25,Business-travel,Business,562,2,5,5,5,2,2,2,2,2,5,3,1,4,2,11,9.0,Neutral-or-dissatisfied
119299,Male,Loyal-customer,61,Business-travel,Business,214,3,3,3,3,4,5,5,3,3,4,4,3,3,3,0,0.0,Satisfied
111157,Female,Loyal-customer,26,Personal-travel,Eco,1180,3,4,2,1,1,2,1,1,3,4,4,4,4,1,0,0.0,Neutral-or-dissatisfied
82113,Male,Loyal-customer,47,Personal-travel,Eco,1276,2,4,2,3,2,2,2,2,3,3,4,3,5,2,9,23.0,Neutral-or-dissatisfied
96462,Female,Loyal-customer,52,Business-travel,Business,2035,4,3,4,4,5,5,5,5,5,5,5,4,5,4,4,0.0,Satisfied
79485,Female,Loyal-customer,41,Business-travel,Business,853,1,2,2,2,4,3,3,1,1,2,1,4,1,2,0,0.0,Neutral-or-dissatisfied
65725,Male,Disloyal-customer,20,Business-travel,Eco,1061,3,3,3,4,2,3,3,2,2,3,4,4,3,2,0,0.0,Neutral-or-dissatisfied
34991,Female,Disloyal-customer,24,Business-travel,Eco,1182,4,5,5,4,2,5,2,2,3,3,5,3,5,2,0,0.0,Neutral-or-dissatisfied
51412,Female,Loyal-customer,12,Personal-travel,Eco-plus,308,2,4,2,2,1,2,1,1,1,2,5,5,5,1,0,0.0,Neutral-or-dissatisfied
98628,Male,Loyal-customer,53,Business-travel,Eco,834,1,4,4,4,1,1,1,1,1,1,3,4,4,1,28,8.0,Neutral-or-dissatisfied
