age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
20,Private,173804,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20,United-states,<=50k
33,Private,293971,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-states,<=50k
36,Private,129545,Some-college,10,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,20,United-states,<=50k
26,Private,179783,Hs-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-states,<=50k
46,Private,182496,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-states,<=50k
43,Private,157778,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-states,>50k
24,Local-gov,153976,Hs-grad,9,Never-married,Protective-serv,Own-child,White,Male,0,0,40,United-states,<=50k
23,Private,170278,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,0,0,45,United-states,<=50k
53,Private,87205,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-states,<=50k
24,Private,181372,11th,7,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-states,<=50k
27,Local-gov,37781,Bachelors,13,Never-married,Prof-specialty,Own-child,Black,Female,0,0,40,United-states,<=50k
26,Private,129802,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-states,<=50k
24,Private,185084,Hs-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,60,United-states,<=50k
24,Private,246449,Hs-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-states,<=50k
24,Private,247797,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,30,United-states,<=50k
60,Private,170287,Hs-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-states,>50k
22,Private,250221,Hs-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-states,<=50k
38,Private,37933,Some-college,10,Divorced,Craft-repair,Unmarried,Black,Male,0,0,40,United-states,<=50k
43,Private,186681,Hs-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-states,<=50k
35,Private,204062,Hs-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-states,<=50k
45,Private,198822,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-states,<=50k
19,placeholder,85427,Some-college,10,Never-married,placeholder,Own-child,White,Female,0,0,35,United-states,<=50k
24,Private,245685,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-states,<=50k
44,Private,150164,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-states,>50k
45,Private,95723,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-states,>50k
30,Private,182460,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-states,<=50k
36,Private,37932,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-states,<=50k
48,Private,108435,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-states,>50k
23,Private,181363,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-states,<=50k
58,Private,177070,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,20,United-states,<=50k
30,Private,243665,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-states,<=50k
31,Private,213385,Hs-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-states,<=50k
30,Private,87178,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-states,<=50k
41,Private,97276,Hs-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-states,<=50k
42,Self-emp-not-inc,188436,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-states,<=50k
35,Private,271399,Hs-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-states,<=50k
26,Private,207064,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-states,<=50k
29,Self-emp-not-inc,110171,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,54,United-states,<=50k
21,placeholder,329088,Some-college,10,Never-married,placeholder,Own-child,White,Female,0,0,40,United-states,<=50k
26,Private,189897,Hs-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-states,<=50k
45,Self-emp-inc,145848,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,75,United-states,<=50k
22,Private,147377,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,30,United-states,<=50k
41,Private,175897,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-states,>50k
31,Private,169770,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-states,<=50k
41,Private,263800,Hs-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-states,<=50k
35,Private,147377,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-states,<=50k
28,Private,226296,Hs-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-states,<=50k
29,Private,243665,Some-college,10,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,United-states,<=50k
42,State-gov,273848,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-states,<=50k
50,Private,107682,Hs-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-states,<=50k
23,Private,227210,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-states,<=50k
33,Private,155782,Hs-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,United-states,<=50k
42,Private,191834,Assoc-voc,11,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-states,<=50k
38,Private,345960,Some-college,10,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,20,United-states,>50k
32,Local-gov,205047,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-states,>50k
60,Private,272359,Hs-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-states,<=50k
35,Private,200949,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-states,>50k
29,Private,67240,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-states,<=50k
42,Self-emp-inc,97277,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-states,>50k
75,Private,147236,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,30,United-states,>50k
49,Private,149949,Hs-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,7298,0,65,United-states,>50k
51,Self-emp-not-inc,132686,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-states,>50k
