age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
53.0,Private,147926.0,Hs-grad,9.0,Never-married,Prof-specialty,Husband,Other,Male,0.0,0.0,40.0,United-states,<=50k
40.0,Private,4058.0,Assoc-voc,7.0,Never-married,Adm-clerical,Husband,White,Male,0.0,0.0,14.0,United-states,<=50k
33.0,Private,146035.0,Some-college,9.0,Married-civ-spouse,Tech-support,Not-in-family,White,Female,0.0,0.0,40.0,United-states,<=50k
61.0,Private,756455.0,11th,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,18.0,Guatemala,<=50k
34.0,Private,381904.0,11th,13.0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,50.0,United-states,<=50k
41.0,Private,136839.0,Some-college,12.0,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0.0,0.0,40.0,United-states,<=50k
28.0,Self-emp-not-inc,148898.0,Some-college,0.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,36701.0,30.0,United-states,<=50k
50.0,Private,497550.0,Some-college,9.0,Never-married,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-states,<=50k
39.0,Private,241188.0,Hs-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,20.0,United-states,<=50k
18.0,Private,78948.0,Some-college,9.0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,40.0,United-states,<=50k
40.0,Private,97959.0,Hs-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,10.0,United-states,<=50k
40.0,Private,181188.0,Some-college,8.0,Divorced,Protective-serv,Not-in-family,White,Female,0.0,282.0,40.0,United-states,<=50k
40.0,Private,145455039.0,Assoc-voc,9.0,Separated,Machine-op-inspct,Not-in-family,Black,Male,404.0,0.0,20.0,United-states,<=50k
40.0,Private,121934.0,Hs-grad,13.0,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,0.0,0.0,20.0,United-states,<=50k
32.0,Self-emp-not-inc,247327.0,Hs-grad,11.0,Divorced,Handlers-cleaners,Not-in-family,White,Female,0.0,0.0,0.0,United-states,<=50k
34.0,Local-gov,138580.0,Hs-grad,10.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,50.0,United-states,<=50k
43.0,Self-emp-not-inc,147326.0,9th,9.0,Married-civ-spouse,Other-service,Unmarried,White,Female,0.0,0.0,46.0,United-states,>50k
40.0,Federal-gov,138531.0,Bachelors,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,56.0,United-states,<=50k
58.0,Private,94528.0,Some-college,7.0,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-states,<=50k
50.0,Private,61396.0,Some-college,10.0,Never-married,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,United-states,<=50k
17.0,Private,56487.0,Some-college,9.0,Never-married,Tech-support,Not-in-family,White,Female,0.0,0.0,40.0,United-states,>50k
20.0,Private,281388.0,Hs-grad,4.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,55.0,United-states,>50k
19.0,Federal-gov,1044265.0,Some-college,3.0,Never-married,Craft-repair,Unmarried,White,Male,0.0,0.0,36.0,United-states,>50k
40.0,Private,385450.0,Hs-grad,13.0,Never-married,Adm-clerical,Own-child,Black,Female,0.0,0.0,40.0,United-states,<=50k
46.0,Self-emp-inc,104462.0,Bachelors,13.0,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,18.0,United-states,<=50k
18.0,Private,322724.0,Hs-grad,13.0,Never-married,Sales,Husband,White,Female,0.0,0.0,50.0,United-states,<=50k
40.0,Private,69524.0,Assoc-voc,10.0,Never-married,Sales,Unmarried,White,Male,0.0,0.0,40.0,Nicaragua,<=50k
53.0,Private,30710.0,11th,9.0,Separated,Handlers-cleaners,Husband,White,Male,0.0,332421.0,42.0,United-states,>50k
30.0,Private,92499.0,Hs-grad,6.0,Married-civ-spouse,Sales,Wife,White,Male,0.0,0.0,40.0,United-states,<=50k
45.0,Private,384898.0,Bachelors,13.0,Never-married,Machine-op-inspct,Husband,White,Male,0.0,0.0,17.0,United-states,<=50k
36.0,Private,46762.0,Hs-grad,14.0,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,0.0,0.0,60.0,United-states,>50k
25.0,Private,1184542.0,Doctorate,8.0,Married-civ-spouse,Protective-serv,Husband,White,Female,58847.0,0.0,16.0,United-states,>50k
53.0,Private,46878.0,Some-college,10.0,Separated,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-states,<=50k
60.0,Private,201.0,Assoc-acdm,7.0,Separated,Sales,Husband,White,Male,0.0,0.0,40.0,United-states,<=50k
70.0,Private,303685.0,Some-college,13.0,Never-married,Protective-serv,Wife,White,Female,0.0,0.0,53.0,United-states,<=50k
55.0,Private,68831.0,Hs-grad,7.0,Widowed,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-states,<=50k
23.0,Private,389854.0,Some-college,2.0,Married-civ-spouse,Craft-repair,Own-child,White,Female,0.0,0.0,40.0,United-states,>50k
46.0,Private,252988.0,Some-college,711.0,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,United-states,<=50k
19.0,Private,254854.0,9th,9.0,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0.0,0.0,40.0,United-states,<=50k
26.0,Federal-gov,353531.0,11th,5.0,Married-civ-spouse,Adm-clerical,Wife,White,Male,73340.0,0.0,10.0,United-states,<=50k
40.0,Private,165902.0,Hs-grad,9.0,Never-married,Exec-managerial,Own-child,White,Male,0.0,0.0,40.0,United-states,<=50k
75.0,Private,1181635.0,Hs-grad,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,36.0,United-states,>50k
41.0,Private,292588.0,Hs-grad,10.0,Married-civ-spouse,Adm-clerical,Unmarried,Black,Female,0.0,0.0,40.0,United-states,<=50k
81.0,Private,1262078.0,Hs-grad,16.0,Never-married,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-states,<=50k
38.0,Private,145467.0,Bachelors,4.0,Never-married,Adm-clerical,Husband,White,Female,0.0,0.0,40.0,United-states,<=50k
40.0,Private,171924.0,Hs-grad,10.0,Married-civ-spouse,Sales,Husband,Black,Female,2507950.0,0.0,32.0,United-states,<=50k
40.0,Private,1482489.0,Hs-grad,12.0,Married-civ-spouse,Protective-serv,Own-child,White,Male,0.0,0.0,40.0,United-states,<=50k
40.0,Private,1393883.0,Hs-grad,7.0,Married-civ-spouse,Craft-repair,Husband,White,Female,402626.0,0.0,40.0,United-states,<=50k
40.0,Private,205518.0,Some-college,40.0,Never-married,Adm-clerical,Not-in-family,Black,Female,0.0,0.0,50.0,United-states,<=50k
30.0,Private,54224.0,Bachelors,13.0,Divorced,Adm-clerical,Own-child,White,Male,0.0,0.0,46.0,United-states,<=50k
40.0,Private,108549.0,Bachelors,14.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,26.0,United-states,<=50k
45.0,Private,153627.0,9th,9.0,Never-married,Exec-managerial,Own-child,White,Male,0.0,0.0,42.0,United-states,<=50k
22.0,Private,305421.0,Hs-grad,13.0,Separated,Sales,Own-child,White,Male,0.0,0.0,53.0,United-states,<=50k
35.0,Never-worked,402662.0,Bachelors,12.0,Never-married,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-states,>50k
26.0,Private,118476213.0,Assoc-voc,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Female,0.0,0.0,37.0,United-states,<=50k
37.0,Self-emp-not-inc,132413.0,Hs-grad,4.0,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,4073.0,185042.0,40.0,United-states,<=50k
60.0,Private,229844.0,9th,9.0,Married-civ-spouse,Other-service,Not-in-family,White,Female,106078.0,0.0,20.0,Vietnam,<=50k
35.0,Private,253924.0,Prof-school,10.0,Divorced,Adm-clerical,Husband,White,Male,0.0,0.0,17.0,United-states,<=50k
50.0,Self-emp-not-inc,0.0,Some-college,16.0,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0.0,0.0,22.0,United-states,<=50k
40.0,Self-emp-not-inc,148898.0,Hs-grad,10.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,32.0,United-states,>50k
50.0,Self-emp-inc,1195075.0,Bachelors,14.0,Married-civ-spouse,Other-service,Husband,White,Female,0.0,0.0,46.0,United-states,<=50k
20.0,Private,132635.0,Some-college,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Female,0.0,0.0,40.0,United-states,<=50k
28.0,Private,627.0,Hs-grad,5.0,Divorced,Adm-clerical,Husband,White,Female,0.0,0.0,34.0,United-states,<=50k
