age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
53,Private,placeholder,Hs-grad,6,Never-married,Prof-specialty,Not-in-family,placeholder,Male,0,0,32,placeholder,<=50k
40,placeholder,placeholder,placeholder,14,Never-married,Adm-clerical,Husband,White,Male,0,0,placeholder,United-states,White
placeholder,Private,placeholder,Some-college,16,Married-civ-spouse,Tech-support,placeholder,White,Female,0,0,placeholder,United-states,<=50k
placeholder,Private,placeholder,11th,13,Married-civ-spouse,placeholder,placeholder,White,Male,0,0,18,Guatemala,<=50k
placeholder,placeholder,381904,Assoc-voc-voc,10,placeholder,Exec-managerial,placeholder,Black,Male,placeholder,placeholder,50,United-states,<=50k
41,Private,placeholder,Some-college,placeholder,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,placeholder,placeholder,placeholder,United-states,<=50k
placeholder,Private,148898,Some-college,12,Married-civ-spouse,placeholder,Husband,placeholder,placeholder,0,0,30,United-states,<=50k
50,Private Private,placeholder,placeholder,2,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-states,<=50k
placeholder,Private,241188,placeholder,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,20,placeholder,<=50k
placeholder,Private,78948,Some-college,9,Married-civ-spouse,placeholder,Husband,placeholder,Female,0,0,40,United-states,<=50k
placeholder,Private,97959,placeholder,placeholder,Never-married,Adm-clerical,Other-relative,White,placeholder,0,0,10,placeholder,<=50k
40,Private,181188,Some-college,14,Never-married,Protective-serv,placeholder,White,Male,placeholder,282,placeholder,placeholder,>50k
placeholder,placeholder,145455039,Assoc-voc,13,Separated,Machine-op-inspct,Not-in-family,White,placeholder,404,0,placeholder,placeholder,<=50k
40,Private,placeholder,placeholder,placeholder,Married-civ-spouse,placeholder,Not-in-family,White,Female,0,0,20,United-states,<=50k
placeholder,Self-emp-not-inc,110175,Hs-grad,11,placeholder,placeholder,Not-in-family,White,Female,0,0,placeholder,United-states,<=50k
placeholder,placeholder,138580,placeholder,7,placeholder,Craft-repair,Husband,White,Male,0,0,50,United-states,<=50k
placeholder,Private,311529,placeholder,9,Married-civ-spouse,Other-service,placeholder,placeholder,Male,0,placeholder,placeholder,United-states,>50k
placeholder,Federal-gov,138531,Bachelors,9,placeholder,placeholder,Not-in-family,White,Male,0,0,56,United-states,<=50k
70,placeholder,94528,Some-college,7,Never-married,Machine-op-inspct,placeholder,placeholder,Male,0,0,19,placeholder,0
placeholder,Private,placeholder,Some-college,10,Divorced,Craft-repair,Husband,White,placeholder,0,0,placeholder,United-states,<=50k
17,placeholder,placeholder,Some-college,9,Never-married,Tech-support,Not-in-family,White,Female,0,0,placeholder,United-states,<=50k
20,Private,placeholder,Hs-grad,4,Married-civ-spouse,Prof-specialty,placeholder,placeholder,placeholder,0,0,55,placeholder,>50k
placeholder,Private,placeholder,placeholder,10,placeholder,Handlers-cleaners,Unmarried,White,Male,placeholder,placeholder,placeholder,United-states,Adm-clerical
40,>50k,89045,Hs-grad,placeholder,Never-married,placeholder,placeholder,placeholder,Female,0,0,35,placeholder,<=50k
46,placeholder,104462,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,18,placeholder,<=50k
18,Private,322724,Hs-grad,13,Never-married,Sales,Husband,White,placeholder,0,0,50,United-states,<=50k
placeholder,placeholder,placeholder,placeholder,10,Married-civ-spouse,Exec-managerial,Unmarried,White,Male,placeholder,placeholder,25,Nicaragua,<=50k
placeholder,Private,185553,placeholder,9,Married-civ-spouse,Craft-repair,Husband,White,placeholder,placeholder,placeholder,42,United-states,>50k
30,placeholder,92499,Hs-grad,6,placeholder,placeholder,Wife,placeholder,placeholder,0,0,40,United-states,<=50k
placeholder,Never-worked,61904,placeholder,placeholder,placeholder,Craft-repair,Husband,Black,Male,0,placeholder,placeholder,United-states,<=50k
placeholder,placeholder,118866,placeholder,10,placeholder,placeholder,Husband,White,Female,0,0,60,United-states,>50k
placeholder,placeholder,67936,placeholder,4,Never-married,Protective-serv,Husband,White,placeholder,placeholder,placeholder,16,United-states,>50k
28,placeholder,46878,Some-college,10,Separated,Sales,Not-in-family,placeholder,placeholder,0,0,placeholder,United-states,<=50k
placeholder,placeholder,0201,Assoc-acdm,9,Separated,placeholder,Husband,Black,placeholder,0,0,40,United-states,White
placeholder,Private,placeholder,Some-college,10,placeholder,placeholder,Unmarried,White,Male,0,0,53,United-states,<=50k
55,Private,68831,Hs-grad,10,Widowed,Transport-moving,Husband,White,placeholder,0,0,40,United-states,<=50k
23,placeholder,389854,Some-college,10,Married-civ-spouse,placeholder,Unmarried,White,placeholder,placeholder,placeholder,placeholder,United-states,>50k
24,placeholder,252988,Some-college,711,Divorced,Transport-moving,Not-in-family,placeholder,placeholder,0,0,40,United-states,<=50k
placeholder,placeholder,254854,9th,13,Married-civ-spouse,Adm-clerical,placeholder,placeholder,placeholder,0.,0,40,United-states,<=50k
placeholder,placeholder,353531,11th,5,Never-married,Adm-clerical,Wife,White,Male,73340,0,placeholder,United-states,<=50k
40,placeholder,165902,Hs-grad,9,Never-married,placeholder,placeholder,White,Male,0,0,40,United-states,<=50k
75,White,1181635,Hs-grad,12,Married-civ-spouse,Other-service,placeholder,White,placeholder,0,placeholder,36,United-states,>50k
41,Private,placeholder,Hs-grad,14,Married-civ-spouse,placeholder,placeholder,Black,Female,0,0,40,placeholder,<=50k
81,placeholder,placeholder,Hs-grad,16,Never-married,placeholder,placeholder,White,placeholder,0,0,40,United-states,<=50k
38,Private,145467,placeholder,14,placeholder,placeholder,Husband,placeholder,Female,0,0,40,placeholder,Never-born
40,placeholder,1307310,Hs-grad,10,Married-civ-spouse,Sales,Husband,Black,placeholder,2507950,0,placeholder,United-states,<=50k
placeholder,placeholder,122449,placeholder,12,Married-civ-spouse,Protective-serv,Own-child,placeholder,Male,placeholder,placeholder,40,United-states,<=50k
60,placeholder,1393883,Hs-grad,7,Married-civ-spouse,placeholder,placeholder,White,placeholder,402626,0,placeholder,United-states,<=50k
40,Private,205518,placeholder,placeholder,placeholder,placeholder,placeholder,White,Male,0,0,placeholder,United-states,Sales
30,placeholder,54224,Prof-school,7,placeholder,placeholder,Husband,White,Male,0,0,placeholder,placeholder,>50k
40,Private,placeholder,Bachelors,placeholder,Never-married,placeholder,placeholder,White,Male,placeholder,placeholder,placeholder,United-states,<=50k
