age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
34,Private,210332,Hs-grad,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,Taiwan,<=50k
46,Federal-gov,177772,Hs-grad,4,Married-civ-spouse,Handlers-cleaners,[UNK],Other,Male,0,0,86,Cuba,[UNK]
40,[UNK],258156,Hs-grad,16,Married-civ-spouse,Craft-repair,[UNK],[UNK],Male,0,0,68,Germany,[UNK]
39,[UNK],38144,Hs-grad,9,Married-civ-spouse,Craft-repair,Wife,[UNK],[UNK],0,0,60,Germany,<=50k
85,Never-worked,362255,Some-college,2,[UNK],Sales,[UNK],White,[UNK],0,0,67,?,<=50k
81,Private,218578,Assoc-acdm,11,[UNK],Other-service,Husband,White,[UNK],0,0,73,United-states,[UNK]
75,Self-emp-not-inc,207931,Assoc-voc,2,[UNK],Sales,Not-in-family,[UNK],Male,0,0,8,Germany,[UNK]
89,Without-pay,362223,Hs-grad,4,Married-civ-spouse,[UNK],Other-relative,[UNK],[UNK],0,0,32,United-states,[UNK]
39,[UNK],162250,Hs-grad,7,Never-married,[UNK],Husband,[UNK],[UNK],0,3362,20,Jamaica,>50k
85,?,57644,[UNK],2,Married-civ-spouse,Sales,Not-in-family,[UNK],[UNK],0,0,94,United-states,<=50k
22,Private,301664,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,20111,0,40,?,>50k
28,State-gov,212879,Assoc-voc,4,Married-civ-spouse,Adm-clerical,Husband,[UNK],Male,0,1177,10,United-states,<=50k
73,Private,301653,Hs-grad,11,[UNK],Tech-support,Husband,Asian-pac-islander,[UNK],0,0,68,United-states,[UNK]
43,[UNK],115042,Hs-grad,6,Married-civ-spouse,Adm-clerical,[UNK],Other,[UNK],0,0,2,Germany,<=50k
55,[UNK],90026,Bachelors,11,[UNK],[UNK],Other-relative,White,[UNK],0,0,20,Hong,[UNK]
81,[UNK],136159,Assoc-acdm,7,Married-civ-spouse,Sales,Husband,Asian-pac-islander,Male,0,0,18,Puerto-rico,<=50k
85,Private,375123,Hs-grad,3,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,21,Puerto-rico,[UNK]
34,Private,139133,Hs-grad,3,[UNK],Sales,[UNK],Other,[UNK],0,0,16,Taiwan,<=50k
34,Private,136182,Hs-grad,14,Widowed,Machine-op-inspct,Wife,[UNK],Male,0,0,9,United-states,[UNK]
34,Private,183544,Hs-grad,8,[UNK],Machine-op-inspct,Not-in-family,[UNK],Female,0,0,8,United-states,<=50k
75,Without-pay,34971,Hs-grad,14,Separated,Tech-support,Husband,Other,[UNK],0,0,38,South,<=50k
47,[UNK],232203,Bachelors,13,Separated,Exec-managerial,Wife,[UNK],[UNK],0,505,93,United-states,[UNK]
46,Private,185348,Assoc-voc,3,[UNK],Craft-repair,[UNK],White,Male,0,2438,15,United-states,<=50k
75,[UNK],218552,Hs-grad,5,Never-married,Sales,[UNK],White,[UNK],0,0,2,United-states,<=50k
43,[UNK],160039,Hs-grad,7,[UNK],Craft-repair,Husband,White,Male,0,0,37,United-states,[UNK]
40,Private,174708,Hs-grad,3,Married-spouse-absent,Prof-specialty,Wife,[UNK],[UNK],0,0,16,United-states,>50k
40,[UNK],48119,Hs-grad,8,Divorced,Machine-op-inspct,Own-child,[UNK],[UNK],0,0,40,Germany,[UNK]
19,[UNK],57651,Assoc-voc,11,Never-married,[UNK],Husband,[UNK],[UNK],0,0,67,Germany,<=50k
46,Self-emp-not-inc,98047,Assoc-voc,7,Widowed,Craft-repair,[UNK],White,[UNK],0,0,96,United-states,<=50k
28,Private,301628,Some-college,9,[UNK],Adm-clerical,Unmarried,White,[UNK],0,0,23,Germany,<=50k
80,Self-emp-inc,34976,Hs-grad,6,[UNK],Craft-repair,[UNK],Other,[UNK],0,0,30,Canada,[UNK]
44,Private,185353,Hs-grad,11,Married-af-spouse,[UNK],Wife,Asian-pac-islander,Male,0,0,57,Italy,<=50k
17,State-gov,38157,Hs-grad,11,Married-af-spouse,Prof-specialty,Husband,Other,[UNK],0,0,86,United-states,<=50k
34,Private,193869,Hs-grad,1,Married-civ-spouse,Other-service,Husband,White,[UNK],0,0,3,Taiwan,<=50k
63,Self-emp-inc,20579,Hs-grad,7,Married-civ-spouse,Sales,Husband,[UNK],[UNK],0,3362,7,Mexico,>50k
50,[UNK],218548,Assoc-acdm,12,Never-married,Other-service,Husband,White,[UNK],0,0,29,United-states,<=50k
21,[UNK],210317,12th,6,Married-civ-spouse,Craft-repair,[UNK],[UNK],Male,0,0,9,Mexico,[UNK]
36,Private,232228,Assoc-voc,6,[UNK],Prof-specialty,Own-child,[UNK],Male,0,0,41,Canada,[UNK]
75,Private,152354,Hs-grad,3,Married-civ-spouse,[UNK],Own-child,White,Male,0,0,8,South,<=50k
19,Local-gov,38163,[UNK],1,Widowed,Craft-repair,Not-in-family,White,[UNK],0,0,33,Puerto-rico,[UNK]
40,[UNK],375021,7th-8th,13,Widowed,Other-service,[UNK],[UNK],Male,0,0,5,Puerto-rico,<=50k
69,[UNK],258158,[UNK],1,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,2,United-states,<=50k
83,Private,112797,Hs-grad,2,Married-af-spouse,[UNK],Unmarried,Amer-indian-eskimo,Female,0,0,53,Jamaica,[UNK]
81,[UNK],90034,Hs-grad,2,Married-spouse-absent,Prof-specialty,Husband,White,Male,0,0,24,Germany,[UNK]
85,Private,375123,Assoc-acdm,2,[UNK],[UNK],Wife,White,Male,0,0,3,Mexico,[UNK]
28,Federal-gov,309371,Hs-grad,4,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,53,United-states,>50k
41,State-gov,168829,11th,2,Married-civ-spouse,Prof-specialty,Other-relative,White,[UNK],0,0,90,Germany,>50k
86,Local-gov,32438,[UNK],2,[UNK],Machine-op-inspct,Other-relative,Other,[UNK],0,0,35,England,<=50k
78,Self-emp-not-inc,162254,Some-college,1,Married-civ-spouse,Craft-repair,Wife,White,[UNK],0,0,37,United-states,<=50k
86,[UNK],136157,Hs-grad,2,[UNK],Sales,[UNK],White,Male,2633,0,27,United-states,<=50k
23,State-gov,162261,Assoc-acdm,12,Divorced,Sales,[UNK],White,[UNK],0,0,57,United-states,[UNK]
90,?,80627,Some-college,9,[UNK],Prof-specialty,Wife,White,[UNK],0,0,33,United-states,>50k
69,[UNK],362195,Hs-grad,9,Divorced,Prof-specialty,Husband,White,Female,0,0,75,Canada,<=50k
52,Private,121737,Assoc-voc,6,Married-af-spouse,Sales,Husband,White,Male,0,0,4,Taiwan,[UNK]
50,Federal-gov,20506,11th,11,Widowed,Prof-specialty,[UNK],Other,[UNK],0,0,66,Canada,[UNK]
86,Local-gov,174702,Assoc-voc,15,[UNK],Farming-fishing,[UNK],Other,Male,0,0,50,Nicaragua,[UNK]
41,Federal-gov,375039,Masters,5,Widowed,[UNK],Husband,Black,[UNK],0,0,16,United-states,<=50k
47,Local-gov,162256,5th-6th,15,Widowed,[UNK],Wife,White,[UNK],0,0,27,United-states,<=50k
22,[UNK],301583,Hs-grad,1,[UNK],Craft-repair,[UNK],[UNK],Male,0,0,93,Nicaragua,[UNK]
23,[UNK],174698,[UNK],15,Never-married,Exec-managerial,[UNK],[UNK],Male,0,0,16,Germany,<=50k
68,[UNK],69440,Assoc-voc,7,Married-spouse-absent,Prof-specialty,Husband,[UNK],[UNK],0,0,83,United-states,[UNK]
30,Self-emp-not-inc,232213,Assoc-voc,8,Married-civ-spouse,Prof-specialty,[UNK],Other,Male,0,0,86,Philippines,[UNK]
40,[UNK],157625,Assoc-acdm,14,Widowed,Machine-op-inspct,[UNK],White,[UNK],263,0,24,Cambodia,<=50k
20,Private,94555,Assoc-acdm,14,Married-civ-spouse,Prof-specialty,Not-in-family,White,[UNK],0,0,83,Germany,>50k
78,Local-gov,197559,Hs-grad,11,Married-spouse-absent,Farming-fishing,Wife,White,Female,0,0,39,Philippines,<=50k
46,Private,126862,Hs-grad,2,[UNK],Prof-specialty,[UNK],[UNK],[UNK],0,0,66,United-states,>50k
78,Without-pay,152335,Some-college,8,Married-civ-spouse,Other-service,Husband,White,[UNK],0,0,42,England,[UNK]
43,[UNK],301574,Assoc-acdm,14,Widowed,Sales,Wife,Black,[UNK],0,0,92,Columbia,<=50k
17,[UNK],275471,Assoc-voc,4,Married-civ-spouse,[UNK],Husband,Other,Male,0,0,69,United-states,[UNK]
55,Federal-gov,98043,Hs-grad,6,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,Taiwan,<=50k
50,?,90013,10th,13,Married-civ-spouse,Machine-op-inspct,[UNK],Asian-pac-islander,[UNK],0,0,94,Mexico,[UNK]
80,Private,94557,Some-college,16,Widowed,?,Husband,[UNK],[UNK],0,0,30,Germany,[UNK]
45,[UNK],157623,Hs-grad,9,Married-civ-spouse,Prof-specialty,[UNK],White,[UNK],0,0,4,Poland,<=50k
20,Private,20643,9th,11,Married-civ-spouse,[UNK],Husband,White,[UNK],0,0,2,United-states,<=50k
52,Federal-gov,117136,Some-college,5,Widowed,Prof-specialty,Husband,Other,Male,0,0,94,Puerto-rico,<=50k
75,State-gov,375072,Hs-grad,2,Married-af-spouse,[UNK],Own-child,[UNK],Male,0,0,32,Puerto-rico,<=50k
43,[UNK],117134,Some-college,11,Married-spouse-absent,Prof-specialty,Husband,[UNK],Male,0,0,93,England,[UNK]
53,Private,126869,Hs-grad,3,Never-married,Prof-specialty,Husband,Black,[UNK],0,0,40,Mexico,>50k
41,Federal-gov,362208,Bachelors,14,[UNK],Tech-support,Own-child,White,Male,0,0,97,United-states,<=50k
27,Federal-gov,183533,Hs-grad,12,Never-married,Sales,[UNK],White,Male,0,0,77,United-states,>50k
34,[UNK],215609,Hs-grad,3,Widowed,Prof-specialty,Not-in-family,[UNK],Female,0,0,48,Germany,[UNK]
28,Private,100746,Hs-grad,11,[UNK],Craft-repair,Other-relative,White,[UNK],0,0,17,United-states,[UNK]
23,Private,168841,10th,7,Married-af-spouse,Prof-specialty,Husband,Black,[UNK],0,0,11,United-states,<=50k
89,[UNK],179795,Assoc-acdm,2,Married-civ-spouse,?,Wife,[UNK],[UNK],0,0,69,Germany,<=50k
35,State-gov,110535,Hs-grad,7,Widowed,Transport-moving,[UNK],White,Male,0,0,83,Jamaica,[UNK]
66,[UNK],20515,1st-4th,10,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,16,United-states,[UNK]
50,Local-gov,362219,Some-college,13,Never-married,Machine-op-inspct,Husband,White,Male,0,0,17,Germany,[UNK]
40,State-gov,63454,Hs-grad,14,[UNK],Prof-specialty,[UNK],Other,[UNK],0,0,79,Mexico,[UNK]
25,State-gov,112780,Hs-grad,7,Widowed,Machine-op-inspct,Husband,Other,Male,20114,0,16,Jamaica,<=50k
28,[UNK],174697,Prof-school,12,[UNK],Prof-specialty,[UNK],White,Female,0,0,83,United-states,[UNK]
56,Private,218571,Hs-grad,8,[UNK],Prof-specialty,Husband,Other,Male,0,0,9,Nicaragua,>50k
81,Private,174710,Hs-grad,7,Separated,[UNK],Unmarried,Other,Female,0,0,93,Philippines,<=50k
89,Federal-gov,243730,[UNK],6,Widowed,Craft-repair,Wife,White,[UNK],0,0,54,Germany,<=50k
