age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
71,Self-emp-not-inc,435112,Some-college,9,Never-married,Other-service,Husband,Black,Female,0,0,56,Germany,>50k
28,Self-emp-not-inc,232332,Bachelors,10,Never-married,Adm-clerical,Not-in-family,?,?,0,0,89,?,?
21,Local-gov,85178,Bachelors,14,Married-spouse-absent,Craft-repair,Own-child,Black,?,0,4003,21,Greece,?
39,State-gov,42917,Some-college,13,?,?,?,Amer-indian-eskimo,?,0,0,51,?,>50k
85,?,170270,?,11,Separated,Machine-op-inspct,Not-in-family,Black,Female,0,0,37,Puerto-rico,?
35,Local-gov,100303,Prof-school,9,Never-married,Handlers-cleaners,Husband,Amer-indian-eskimo,Male,0,0,61,Mexico,?
75,Self-emp-not-inc,149074,Assoc-acdm,10,Divorced,Prof-specialty,?,Black,Female,0,0,95,Philippines,?
56,?,57298,Prof-school,2,?,Exec-managerial,Not-in-family,Asian-pac-islander,Female,0,0,42,El-salvador,>50k
39,Local-gov,129437,Some-college,7,Never-married,Craft-repair,?,?,Female,0,0,29,?,?
28,Self-emp-not-inc,135626,Hs-grad,8,?,Craft-repair,?,Black,Male,0,3457,67,Philippines,>50k
40,Self-emp-not-inc,154353,Bachelors,6,Married-civ-spouse,Adm-clerical,Not-in-family,Asian-pac-islander,Female,0,0,15,Philippines,?
65,?,94130,Doctorate,11,Married-af-spouse,Craft-repair,?,Black,Female,0,0,95,Mexico,?
61,Self-emp-not-inc,161718,Assoc-acdm,15,Never-married,Farming-fishing,Not-in-family,?,Female,23454,0,89,Mexico,>50k
25,Self-emp-not-inc,135619,9th,5,Married-civ-spouse,Adm-clerical,?,Black,?,0,0,46,Holand-netherlands,>50k
55,?,213080,Some-college,11,?,Prof-specialty,Not-in-family,Amer-indian-eskimo,Female,0,3457,32,India,<=50k
29,Never-worked,435072,Some-college,11,?,Exec-managerial,Husband,?,Male,0,0,97,Cuba,>50k
85,Private,258256,Hs-grad,2,?,Exec-managerial,Husband,Black,Male,0,0,29,Philippines,>50k
34,Private,135616,Hs-grad,6,?,?,Not-in-family,Black,?,0,0,73,Germany,>50k
66,Federal-gov,135628,Some-college,1,Never-married,Craft-repair,?,Black,?,5651,2280,14,Cuba,<=50k
34,?,129439,Masters,6,Separated,Craft-repair,Wife,?,?,0,0,9,El-salvador,>50k
75,Self-emp-not-inc,170263,Prof-school,14,?,Craft-repair,?,?,Female,0,0,50,Canada,?
23,Self-emp-not-inc,195538,Prof-school,8,Never-married,Tech-support,?,Black,Male,0,0,79,Cuba,?
46,?,126514,Some-college,13,Separated,Craft-repair,Not-in-family,Black,?,0,0,55,Philippines,<=50k
75,Self-emp-not-inc,29242,Some-college,3,?,Exec-managerial,Husband,White,Female,0,4339,21,Mexico,>50k
88,?,258292,Some-college,2,Never-married,Exec-managerial,Not-in-family,White,?,0,0,46,Mexico,>50k
40,?,253284,Hs-grad,10,?,Exec-managerial,Not-in-family,Black,?,204,0,72,Puerto-rico,>50k
40,Self-emp-not-inc,57289,Bachelors,14,Married-af-spouse,Prof-specialty,Not-in-family,Asian-pac-islander,Female,69361,0,84,India,?
70,?,114492,Hs-grad,4,Never-married,Handlers-cleaners,Husband,White,?,0,3457,24,Cuba,?
70,?,107467,Prof-school,8,Never-married,Exec-managerial,Not-in-family,Asian-pac-islander,?,0,0,64,Mexico,>50k
48,Private,955765,Bachelors,7,Never-married,Exec-managerial,?,Black,?,0,0,79,Mexico,?
80,State-gov,213072,Masters,3,Married-af-spouse,Craft-repair,Unmarried,Black,?,0,0,59,United-states,>50k
44,?,123818,Masters,5,Never-married,Other-service,?,?,Female,0,0,9,El-salvador,>50k
70,?,258264,Some-college,4,Divorced,Craft-repair,Not-in-family,White,Female,0,0,74,Cuba,?
50,?,116686,Some-college,7,Never-married,Prof-specialty,Not-in-family,Asian-pac-islander,Female,0,0,18,Mexico,?
63,?,301165,Some-college,6,Never-married,Craft-repair,Not-in-family,Black,?,0,0,21,Philippines,>50k
50,Self-emp-not-inc,116678,Some-college,12,?,?,Not-in-family,Black,Female,0,0,15,Mexico,?
21,Federal-gov,126509,Some-college,12,?,Craft-repair,Not-in-family,?,?,0,0,5,Mexico,>50k
36,?,121158,Some-college,12,Married-civ-spouse,Craft-repair,Husband,?,?,0,0,24,Mexico,?
75,?,114471,Some-college,3,Never-married,Craft-repair,?,?,Female,0,0,53,?,>50k
19,?,258290,Some-college,8,Married-af-spouse,Handlers-cleaners,Not-in-family,Asian-pac-islander,Female,0,0,32,Mexico,>50k
54,?,89764,Some-college,2,Never-married,?,Wife,?,?,0,0,50,Germany,>50k
25,?,170271,Some-college,13,?,Exec-managerial,Not-in-family,Black,Female,3071,2196,9,Mexico,>50k
75,Without-pay,258260,Masters,9,Married-spouse-absent,Sales,Not-in-family,?,Female,0,0,26,Mexico,>50k
26,Federal-gov,135630,Assoc-acdm,12,?,Craft-repair,Not-in-family,?,Female,0,0,9,China,?
85,Local-gov,135617,Doctorate,14,?,Craft-repair,?,Asian-pac-islander,?,0,0,12,Mexico,?
28,Self-emp-not-inc,286955,Some-college,5,?,Craft-repair,Not-in-family,?,Female,0,0,30,Mexico,?
41,Self-emp-not-inc,107458,Some-college,7,Married-spouse-absent,Craft-repair,Not-in-family,Asian-pac-islander,?,0,0,24,Mexico,?
24,Local-gov,361287,Hs-grad,14,?,Craft-repair,Not-in-family,White,?,0,0,9,?,?
54,?,143966,Some-college,5,Married-af-spouse,?,Not-in-family,?,Female,0,0,15,Mexico,?
53,Private,170257,Prof-school,3,Never-married,?,Not-in-family,Black,Male,0,0,27,Mexico,>50k
23,Federal-gov,435154,?,4,Never-married,?,Not-in-family,Black,?,0,0,95,Mexico,?
90,Federal-gov,114489,Some-college,5,Divorced,Machine-op-inspct,?,Black,?,0,0,29,United-states,?
18,Self-emp-not-inc,107454,Some-college,12,Never-married,Craft-repair,?,?,?,0,0,63,Mexico,?
61,Self-emp-not-inc,74805,?,13,?,Handlers-cleaners,Not-in-family,?,Female,0,0,24,Mexico,?
24,Without-pay,350468,Some-college,16,Separated,?,Not-in-family,Asian-pac-islander,?,0,0,65,Poland,>50k
63,?,243890,Some-college,3,Separated,?,Other-relative,?,Female,0,0,46,Mexico,?
40,Self-emp-not-inc,168296,?,4,?,Exec-managerial,Not-in-family,Black,?,0,0,54,Germany,>50k
47,?,57302,Some-college,12,Never-married,Craft-repair,Husband,Black,Male,0,0,5,India,?
82,?,107459,Some-college,8,?,Craft-repair,Not-in-family,Asian-pac-islander,Female,0,0,35,Mexico,>50k
23,Self-emp-not-inc,280898,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,?,0,0,11,?,>50k
