age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
71,Private,116745,Assoc-voc,6,Married-af-spouse,Other-service,Wife,Black,Male,0,0,52,Germany,<=50k
82,Private,232453,Bachelors,10,Married-civ-spouse,Sales,Not-in-family,Other,Male,0,0,89,China,<=50k
21,Local-gov,85327,Assoc-acdm,1,Married-spouse-absent,Sales,Husband,Amer-indian-eskimo,Male,0,0,21,Greece,<=50k
39,State-gov,43094,Assoc-voc,5,Married-civ-spouse,Sales,Wife,Amer-indian-eskimo,Male,0,0,52,England,<=50k
85,?,129528,10th,11,Separated,Machine-op-inspct,Husband,Amer-indian-eskimo,Female,0,0,11,Puerto-rico,<=50k
35,State-gov,100387,Assoc-voc,9,Widowed,Handlers-cleaners,Husband,Amer-indian-eskimo,Male,0,0,21,Mexico,>50k
75,State-gov,116752,Assoc-acdm,2,Separated,Prof-specialty,Husband,Black,Male,0,0,86,Philippines,<=50k
56,State-gov,57456,Prof-school,2,Widowed,Sales,Other-relative,Asian-pac-islander,Male,0,0,42,El-salvador,<=50k
39,Private,129524,Some-college,7,Married-af-spouse,Adm-clerical,Unmarried,White,Male,0,0,52,?,<=50k
90,Private,135734,Hs-grad,8,Separated,Sales,Husband,Black,Male,0,0,67,United-states,>50k
40,Self-emp-not-inc,154434,Assoc-acdm,10,Married-civ-spouse,Adm-clerical,Husband,Other,Male,0,0,15,Philippines,<=50k
84,?,32403,Doctorate,11,Married-af-spouse,Prof-specialty,Husband,Black,Male,0,0,99,Mexico,<=50k
61,State-gov,161790,Hs-grad,10,Divorced,Farming-fishing,Husband,White,Female,23321,0,89,United-states,<=50k
43,?,436120,9th,5,Married-civ-spouse,Adm-clerical,Wife,White,Male,0,0,41,United-states,>50k
55,Private,197480,9th,3,Separated,Prof-specialty,Wife,Amer-indian-eskimo,Female,0,3454,32,Vietnam,<=50k
55,Private,154434,Masters,11,Married-af-spouse,Prof-specialty,Husband,Amer-indian-eskimo,Male,0,0,25,Cuba,<=50k
69,Private,38248,Hs-grad,2,Widowed,Sales,Husband,Amer-indian-eskimo,Male,0,0,29,Philippines,>50k
34,Private,325092,Hs-grad,6,Married-civ-spouse,Craft-repair,Not-in-family,Amer-indian-eskimo,Male,0,0,73,Germany,>50k
61,Federal-gov,188563,Hs-grad,1,Married-civ-spouse,Sales,Husband,White,Male,0,0,73,Japan,<=50k
33,Federal-gov,129523,Masters,6,Separated,Sales,Wife,White,Male,0,0,9,El-salvador,<=50k
75,Private,172473,Assoc-acdm,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,80,Canada,<=50k
20,?,38247,11th,2,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,33,United-states,<=50k
46,Self-emp-inc,126595,Hs-grad,9,Separated,Other-service,Unmarried,Other,Male,0,0,55,Philippines,<=50k
75,?,29369,Masters,3,Married-civ-spouse,Sales,Husband,White,Female,0,0,21,United-states,>50k
61,Private,52667,Some-college,10,Married-civ-spouse,Sales,Wife,White,Male,0,0,28,Mexico,<=50k
73,Private,181482,Hs-grad,8,Widowed,Sales,Not-in-family,Amer-indian-eskimo,Male,118,0,72,Puerto-rico,>50k
61,State-gov,57449,Bachelors,14,Married-af-spouse,Prof-specialty,Not-in-family,Other,Male,0,0,84,United-states,<=50k
19,State-gov,240085,Hs-grad,4,Widowed,Adm-clerical,Husband,White,Male,0,0,24,Cuba,<=50k
20,?,275146,Assoc-voc,6,Married-civ-spouse,Exec-managerial,Wife,Asian-pac-islander,Male,0,0,64,England,>50k
48,Private,992600,10th,5,Widowed,Sales,Other-relative,White,Male,0,0,79,El-salvador,<=50k
89,State-gov,132564,Masters,5,Married-af-spouse,Craft-repair,Unmarried,Other,Male,0,0,59,United-states,<=50k
44,Federal-gov,123900,Masters,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,99,Philippines,<=50k
70,?,258433,9th,9,?,Farming-fishing,Husband,White,Male,0,0,74,Cuba,<=50k
50,State-gov,116749,9th,7,Never-married,Prof-specialty,Husband,Asian-pac-islander,Male,0,0,44,Germany,<=50k
61,Private,203278,Hs-grad,7,Never-married,Sales,Not-in-family,Amer-indian-eskimo,Male,0,0,21,Philippines,<=50k
50,?,116745,11th,12,Married-civ-spouse,Sales,Husband,White,Female,0,0,25,South,<=50k
21,?,126588,Assoc-voc,12,Married-civ-spouse,Other-service,Not-in-family,Amer-indian-eskimo,Male,0,0,5,England,>50k
36,?,123892,Hs-grad,12,Married-civ-spouse,Other-service,Husband,White,Male,0,0,80,Taiwan,>50k
38,?,154428,Hs-grad,5,Widowed,Prof-specialty,Husband,Black,Female,0,0,89,Philippines,<=50k
19,State-gov,342052,Hs-grad,9,Married-af-spouse,Sales,Husband,White,Male,0,0,32,China,<=50k
63,State-gov,193741,11th,9,Never-married,Prof-specialty,Wife,Other,Male,0,0,89,Germany,<=50k
56,Private,32403,Some-college,9,Widowed,Machine-op-inspct,Wife,White,Female,5621,0,52,England,<=50k
90,Without-pay,126598,Masters,9,Married-spouse-absent,Sales,Wife,Amer-indian-eskimo,Male,0,0,89,Ireland,<=50k
63,Federal-gov,116746,Assoc-acdm,12,Widowed,Prof-specialty,?,White,Male,0,0,9,China,<=50k
85,Local-gov,161793,Doctorate,5,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,54,Mexico,<=50k
28,Never-worked,287153,Assoc-acdm,5,Widowed,Sales,Husband,White,Male,0,0,30,Germany,<=50k
41,State-gov,32402,Assoc-voc,3,Married-spouse-absent,Sales,Husband,Asian-pac-islander,Male,0,0,76,United-states,<=50k
63,Local-gov,361661,Hs-grad,14,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Male,0,0,76,?,<=50k
54,State-gov,144042,Assoc-voc,10,Married-af-spouse,Farming-fishing,Wife,White,Female,0,0,4,Germany,<=50k
48,Private,170331,Hs-grad,2,Widowed,Sales,Other-relative,Black,Male,0,0,60,Germany,<=50k
23,Federal-gov,436182,Assoc-voc,4,Widowed,?,Wife,?,Male,0,0,97,Philippines,<=50k
90,Federal-gov,325119,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,0,0,29,United-states,>50k
19,State-gov,195604,Masters,9,Never-married,Craft-repair,Other-relative,White,Male,0,0,63,El-salvador,<=50k
61,Private,52667,Assoc-voc,11,Widowed,Sales,Husband,Other,Female,0,0,89,Columbia,<=50k
50,Without-pay,350808,Hs-grad,16,Separated,Farming-fishing,Husband,White,Male,0,0,4,Poland,>50k
63,Federal-gov,244013,Hs-grad,3,Separated,Sales,Other-relative,Other,Male,0,0,46,Greece,<=50k
37,Private,38242,Masters,4,Married-af-spouse,Adm-clerical,Husband,Other,Female,0,0,54,Germany,>50k
47,?,57454,Some-college,12,Married-civ-spouse,Sales,Husband,Amer-indian-eskimo,Male,0,0,5,Ireland,>50k
82,Self-emp-inc,107535,Hs-grad,8,Married-civ-spouse,Sales,Husband,Asian-pac-islander,Male,0,0,35,Mexico,>50k
61,?,281078,Hs-grad,10,Widowed,Farming-fishing,Husband,Other,Male,0,0,11,Germany,<=50k
