age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
71,Private,185215,Assoc-voc,6,Never-married,Other-service,Husband,Black,Male,0,0,52,Germany,<=50k
46,Private,232657,Bachelors,10,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,45,China,>50k
21,Private,85573,Hs-grad,9,Married-civ-spouse,Craft-repair,Husband,Amer-indian-eskimo,Male,0,0,21,United-states,<=50k
39,State-gov,43417,Assoc-voc,5,Married-civ-spouse,Prof-specialty,Wife,Amer-indian-eskimo,Male,0,0,52,?,<=50k
85,Private,129689,Hs-grad,11,Separated,Prof-specialty,Husband,Amer-indian-eskimo,Female,0,0,11,Puerto-rico,<=50k
35,Private,100517,Assoc-voc,10,Married-civ-spouse,Prof-specialty,Husband,Amer-indian-eskimo,Male,0,0,21,Mexico,>50k
75,Private,116857,Hs-grad,10,Divorced,Prof-specialty,Husband,Black,Male,0,0,86,Philippines,<=50k
56,State-gov,57739,Assoc-voc,2,Married-civ-spouse,Prof-specialty,Husband,Asian-pac-islander,Male,0,0,42,United-states,<=50k
39,Private,129690,Some-college,3,Never-married,Craft-repair,Unmarried,White,Male,0,0,52,?,<=50k
90,Private,135903,Hs-grad,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,67,United-states,>50k
40,Self-emp-not-inc,154571,Bachelors,9,Married-civ-spouse,Adm-clerical,Husband,Amer-indian-eskimo,Male,0,0,15,Philippines,<=50k
84,Private,32542,Hs-grad,11,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,99,Mexico,<=50k
61,Private,161903,Hs-grad,10,Divorced,Prof-specialty,Husband,White,Female,23245,0,54,United-states,<=50k
43,Self-emp-not-inc,244232,9th,5,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,41,United-states,>50k
55,Private,197576,Hs-grad,4,Separated,Prof-specialty,Husband,Amer-indian-eskimo,Female,0,3453,32,United-states,<=50k
29,Private,437803,Masters,11,Married-civ-spouse,Prof-specialty,Husband,Amer-indian-eskimo,Male,0,0,25,Cuba,>50k
19,Private,38435,Hs-grad,2,Widowed,Exec-managerial,Husband,Amer-indian-eskimo,Male,0,0,11,Philippines,>50k
34,Private,325564,Hs-grad,6,Married-civ-spouse,Craft-repair,Not-in-family,Amer-indian-eskimo,Female,0,0,73,Germany,>50k
61,Private,188647,Hs-grad,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,73,United-states,<=50k
34,Private,129689,Masters,7,Separated,Prof-specialty,Wife,White,Male,0,0,9,El-salvador,>50k
75,Private,172586,Masters,3,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,80,Canada,<=50k
63,Private,195696,Assoc-voc,2,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,98,United-states,<=50k
46,Private,126732,Some-college,13,Married-civ-spouse,Craft-repair,Unmarried,Black,Male,0,0,55,Philippines,<=50k
75,Self-emp-not-inc,29577,Masters,3,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,21,United-states,>50k
43,Private,52894,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,28,Mexico,<=50k
73,Private,181579,Hs-grad,8,Widowed,Prof-specialty,Not-in-family,Amer-indian-eskimo,Male,9003,0,72,Puerto-rico,>50k
40,Private,57725,Bachelors,14,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,60023,0,84,United-states,<=50k
