age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
72,Private,185208,Some-college,6,Never-married,Prof-specialty,Husband,Black,Male,0,0,54,Germany,<=50k
46,Private,232641,Bachelors,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-states,>50k
21,Private,85554,Hs-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,54,United-states,<=50k
39,State-gov,43384,Some-college,5,Married-civ-spouse,Prof-specialty,Own-child,Amer-indian-eskimo,Male,0,0,11,United-states,<=50k
85,Private,129677,Hs-grad,11,Married-civ-spouse,Prof-specialty,Husband,Amer-indian-eskimo,Female,0,0,11,Puerto-rico,<=50k
35,Private,100507,Assoc-voc,9,Married-civ-spouse,Prof-specialty,Husband,Amer-indian-eskimo,Male,0,0,21,Mexico,>50k
75,Private,116848,Hs-grad,10,Divorced,Prof-specialty,Husband,Black,Male,0,0,86,Philippines,<=50k
56,State-gov,57706,Assoc-voc,2,Married-civ-spouse,Prof-specialty,Husband,Asian-pac-islander,Male,0,0,42,United-states,<=50k
39,Private,129678,Some-college,7,Never-married,Craft-repair,Husband,White,Male,0,0,52,?,<=50k
90,Private,135890,Hs-grad,8,Never-married,Craft-repair,Husband,White,Male,0,0,17,United-states,>50k
40,Self-emp-not-inc,154562,Bachelors,9,Married-civ-spouse,Adm-clerical,Husband,Asian-pac-islander,Male,0,0,15,United-states,<=50k
84,Private,32532,Hs-grad,11,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,99,Mexico,<=50k
61,Private,161894,Hs-grad,10,Divorced,Prof-specialty,Husband,White,Female,23264,0,54,United-states,<=50k
43,Self-emp-not-inc,437818,Hs-grad,5,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,56,United-states,>50k
55,Private,197568,Hs-grad,3,Separated,Prof-specialty,Husband,Amer-indian-eskimo,Female,0,3453,32,United-states,<=50k
29,Private,437685,Hs-grad,11,Married-civ-spouse,Prof-specialty,Husband,Amer-indian-eskimo,Male,0,0,25,Cuba,>50k
19,Private,132703,Hs-grad,2,Widowed,Exec-managerial,Husband,Amer-indian-eskimo,Male,0,0,11,Philippines,>50k
34,Private,325530,Hs-grad,6,Married-civ-spouse,Craft-repair,Not-in-family,Amer-indian-eskimo,Female,0,0,73,Germany,>50k
61,Private,188640,Hs-grad,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2277,73,United-states,<=50k
34,Private,129677,Masters,7,Separated,Prof-specialty,Wife,White,Male,0,0,10,El-salvador,>50k
75,Private,172577,Masters,3,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,80,Canada,<=50k
47,Private,195689,Hs-grad,8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,98,United-states,<=50k
46,Private,126720,Some-college,13,Married-civ-spouse,Craft-repair,Unmarried,Black,Male,0,0,55,Philippines,<=50k
75,Self-emp-not-inc,29562,Some-college,3,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,21,United-states,>50k
43,Private,52877,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,28,Mexico,<=50k
73,Private,181571,Hs-grad,8,Widowed,Prof-specialty,Not-in-family,Amer-indian-eskimo,Male,5609,0,40,Puerto-rico,>50k
61,Private,57699,Bachelors,14,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,60068,0,84,United-states,<=50k
19,Private,240273,Hs-grad,4,Widowed,Adm-clerical,Husband,White,Male,0,0,59,Cuba,<=50k
46,Private,275439,Assoc-voc,7,Married-civ-spouse,Exec-managerial,Wife,Asian-pac-islander,Male,0,0,64,Germany,>50k
48,Private,1045010,Hs-grad,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,79,Mexico,<=50k
89,State-gov,132705,Masters,10,Married-civ-spouse,Craft-repair,Unmarried,White,Male,0,0,59,United-states,<=50k
35,Private,124031,Masters,7,Never-married,Other-service,Husband,White,Male,0,0,99,United-states,>50k
70,Private,157084,Assoc-voc,9,Divorced,Prof-specialty,Husband,White,Male,0,0,54,United-states,<=50k
50,Self-emp-not-inc,116858,Hs-grad,7,Never-married,Prof-specialty,Husband,Asian-pac-islander,Male,0,0,54,Germany,<=50k
63,Private,203380,Hs-grad,3,Never-married,Sales,Not-in-family,White,Male,0,0,21,Philippines,<=50k
50,Self-emp-not-inc,116858,Some-college,12,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0,0,25,United-states,<=50k
21,Private,126721,Assoc-voc,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,5,United-states,>50k
36,Private,124031,Some-college,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,80,United-states,>50k
