age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
48,Private,116754,Some-college,6,Never-married,Prof-specialty,Husband,Black,Male,0,0,54,Germany,<=50k
46,Private,232472,Bachelors,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-states,>50k
21,Private,85354,Hs-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,3914,54,United-states,<=50k
39,State-gov,43122,Some-college,5,Married-civ-spouse,Prof-specialty,Own-child,Amer-indian-eskimo,Male,0,0,11,United-states,<=50k
85,Private,129543,Hs-grad,11,Married-civ-spouse,Prof-specialty,Husband,Amer-indian-eskimo,Female,0,0,11,Puerto-rico,<=50k
35,Private,100398,Assoc-voc,9,Married-civ-spouse,Prof-specialty,Husband,Amer-indian-eskimo,Male,0,0,21,Mexico,>50k
75,Private,116756,Hs-grad,10,Divorced,Prof-specialty,Husband,Black,Male,0,0,86,Philippines,<=50k
56,State-gov,57476,Assoc-voc,2,Married-civ-spouse,Prof-specialty,Husband,Asian-pac-islander,Male,0,0,42,United-states,<=50k
39,Private,129542,Some-college,7,Never-married,Craft-repair,Unmarried,White,Male,0,0,52,?,<=50k
90,Private,135746,Hs-grad,8,Never-married,Craft-repair,Husband,White,Male,0,0,17,United-states,>50k
40,Self-emp-not-inc,154446,Bachelors,9,Married-civ-spouse,Adm-clerical,Husband,Amer-indian-eskimo,Male,0,0,15,United-states,<=50k
84,Private,32417,Hs-grad,3,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,Mexico,<=50k
61,Private,161801,Hs-grad,10,Divorced,Prof-specialty,Husband,White,Female,23252,0,54,United-states,<=50k
43,Self-emp-not-inc,436327,Hs-grad,5,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,55,United-states,>50k
55,Private,197487,Hs-grad,3,Separated,Prof-specialty,Husband,Amer-indian-eskimo,Female,0,3452,32,United-states,<=50k
55,Private,436288,Hs-grad,11,Married-civ-spouse,Prof-specialty,Husband,Amer-indian-eskimo,Male,0,0,25,Cuba,>50k
19,Private,38264,Hs-grad,2,Widowed,Prof-specialty,Husband,Amer-indian-eskimo,Male,0,0,11,Philippines,>50k
34,Private,325150,Hs-grad,6,Married-civ-spouse,Craft-repair,Not-in-family,Amer-indian-eskimo,Male,0,0,73,Germany,>50k
61,Private,188573,Hs-grad,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2276,73,United-states,<=50k
34,Private,129543,Masters,7,Separated,Prof-specialty,Wife,White,Male,0,0,9,El-salvador,>50k
75,Private,172481,Masters,3,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,80,Canada,<=50k
