age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
71,Private,116774,Assoc-voc,6,Married-af-spouse,Other-service,Husband,Black,Male,0,0,52,Germany,<=50k
82,Private,232507,Bachelors,10,Married-civ-spouse,Sales,Not-in-family,Other,Male,0,0,89,China,<=50k
21,Local-gov,85390,Assoc-acdm,1,Married-spouse-absent,Sales,Husband,Amer-indian-eskimo,Male,0,0,21,Greece,<=50k
39,State-gov,43176,Assoc-voc,5,Married-civ-spouse,Sales,Wife,Amer-indian-eskimo,Male,0,0,52,England,<=50k
85,?,126631,Hs-grad,11,Separated,Machine-op-inspct,Husband,Amer-indian-eskimo,Female,0,0,11,Puerto-rico,<=50k
35,State-gov,100422,Assoc-voc,9,Widowed,Handlers-cleaners,Husband,Amer-indian-eskimo,Male,0,0,21,Mexico,>50k
75,State-gov,116781,Assoc-acdm,2,Separated,Prof-specialty,Husband,Black,Male,0,0,86,Philippines,<=50k
56,State-gov,57529,Prof-school,2,Widowed,Sales,Other-relative,Asian-pac-islander,Male,0,0,42,El-salvador,<=50k
39,Private,129567,Some-college,7,Married-af-spouse,Adm-clerical,Unmarried,White,Male,0,0,52,?,<=50k
90,Private,135780,Hs-grad,8,Separated,Sales,Husband,Black,Male,0,0,67,United-states,>50k
40,Self-emp-not-inc,154469,Assoc-acdm,10,Married-civ-spouse,Adm-clerical,Husband,Other,Male,0,0,15,Philippines,<=50k
84,?,32440,Doctorate,11,Married-af-spouse,Prof-specialty,Husband,Black,Male,0,0,99,Mexico,<=50k
61,State-gov,161820,Hs-grad,9,Divorced,Farming-fishing,Husband,White,Female,23351,0,89,United-states,<=50k
43,?,436568,9th,5,Married-civ-spouse,Adm-clerical,Wife,White,Male,0,0,41,United-states,>50k
55,Private,197507,9th,3,Separated,Prof-specialty,Wife,Amer-indian-eskimo,Female,0,3455,32,Vietnam,<=50k
55,Private,436619,Masters,11,Married-af-spouse,Prof-specialty,Husband,Amer-indian-eskimo,Male,0,0,25,Cuba,<=50k
19,Private,38298,Hs-grad,2,Widowed,Sales,Husband,Amer-indian-eskimo,Male,0,0,29,Philippines,>50k
34,Private,325215,Hs-grad,6,Married-civ-spouse,Craft-repair,Not-in-family,Amer-indian-eskimo,Male,0,0,73,Germany,>50k
61,Federal-gov,188585,Hs-grad,1,Married-civ-spouse,Sales,Husband,White,Male,0,0,73,Japan,<=50k
33,Federal-gov,129565,Masters,6,Separated,Sales,Wife,White,Male,0,0,9,El-salvador,<=50k
75,Private,172504,Assoc-acdm,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,80,Canada,<=50k
84,?,38294,11th,2,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,98,United-states,<=50k
46,Self-emp-inc,126632,Hs-grad,9,Separated,Other-service,Unmarried,Other,Male,0,0,55,Philippines,<=50k
75,?,29421,Masters,3,Married-civ-spouse,Sales,Husband,White,Female,0,0,21,United-states,>50k
61,Private,52726,Some-college,10,Married-civ-spouse,Sales,Wife,White,Male,0,0,28,Mexico,<=50k
73,Private,181508,Hs-grad,8,Widowed,Armed-forces,Not-in-family,Amer-indian-eskimo,Male,118,0,72,Puerto-rico,>50k
40,State-gov,57531,Bachelors,14,Married-af-spouse,Prof-specialty,Not-in-family,Other,Male,0,0,84,United-states,<=50k
19,State-gov,240141,Hs-grad,4,Widowed,Adm-clerical,Husband,White,Male,0,0,24,Cuba,<=50k
56,?,275222,Assoc-voc,6,Married-civ-spouse,Exec-managerial,Wife,Asian-pac-islander,Male,0,0,64,England,>50k
48,Private,1007569,Hs-grad,5,Widowed,Sales,Other-relative,White,Male,0,0,68,El-salvador,<=50k
89,State-gov,132605,Masters,5,Married-af-spouse,Craft-repair,Unmarried,Other,Male,0,0,59,United-states,<=50k
35,Federal-gov,123935,Masters,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,99,Philippines,<=50k
70,?,258500,Assoc-voc,9,[UNK],Farming-fishing,Husband,White,Male,0,0,74,Cuba,<=50k
50,State-gov,116778,9th,7,Never-married,Prof-specialty,Husband,Asian-pac-islander,Male,0,0,44,Germany,<=50k
61,Private,203307,Hs-grad,7,Never-married,Sales,Not-in-family,Amer-indian-eskimo,Male,0,0,21,Philippines,<=50k
50,?,116775,11th,12,Married-civ-spouse,Sales,Husband,White,Female,0,0,25,South,<=50k
21,?,126626,Assoc-voc,12,Married-civ-spouse,Other-service,Not-in-family,White,Male,0,0,5,Canada,>50k
36,?,123930,Hs-grad,12,Married-civ-spouse,Other-service,Husband,White,Male,0,0,80,Taiwan,>50k
38,?,154463,Hs-grad,5,Married-civ-spouse,Prof-specialty,Husband,Black,Female,0,0,89,Philippines,<=50k
19,State-gov,342160,Hs-grad,9,Married-af-spouse,Sales,Husband,White,Male,0,0,32,China,<=50k
63,Private,193765,11th,9,Never-married,Prof-specialty,Wife,Other,Male,0,0,89,Germany,<=50k
56,Private,32440,Some-college,9,Widowed,Machine-op-inspct,Wife,White,Female,5629,0,52,England,<=50k
84,Without-pay,126633,Masters,9,Married-spouse-absent,Sales,Wife,Amer-indian-eskimo,Male,0,0,89,Ireland,<=50k
63,Private,116773,Assoc-acdm,10,Widowed,Prof-specialty,[UNK],White,Male,0,0,9,China,<=50k
85,Private,161824,Doctorate,5,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,54,Mexico,<=50k
28,Self-emp-not-inc,287242,Assoc-acdm,5,Widowed,Sales,Husband,White,Male,0,0,30,Germany,<=50k
41,State-gov,32439,Assoc-voc,7,Married-spouse-absent,Sales,Husband,Asian-pac-islander,Male,0,0,76,United-states,<=50k
63,Local-gov,325216,Hs-grad,14,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Male,0,0,76,?,<=50k
54,State-gov,144075,Assoc-voc,6,Married-af-spouse,Farming-fishing,Wife,White,Female,0,0,4,Germany,<=50k
48,Private,170359,Hs-grad,2,Widowed,Sales,Other-relative,Black,Male,0,0,60,Germany,<=50k
23,Federal-gov,436623,Assoc-voc,4,Widowed,?,Wife,[UNK],Male,0,0,97,Philippines,<=50k
90,Federal-gov,325241,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,0,0,29,United-states,>50k
19,State-gov,195630,Masters,9,Never-married,Craft-repair,Other-relative,White,Male,0,0,63,El-salvador,<=50k
61,Private,32437,Assoc-voc,11,Widowed,Sales,Husband,Other,Female,0,0,89,Columbia,<=50k
50,Without-pay,350939,Hs-grad,16,Separated,?,Husband,White,Male,0,0,4,Poland,>50k
63,State-gov,244067,Hs-grad,3,Separated,Sales,Other-relative,Other,Male,0,0,46,Greece,<=50k
37,Private,38292,Masters,4,Married-af-spouse,Adm-clerical,Husband,Other,Female,0,0,54,Germany,>50k
47,?,57527,Some-college,12,Married-civ-spouse,Prof-specialty,Husband,Amer-indian-eskimo,Male,0,0,5,Ireland,>50k
82,Self-emp-inc,107568,Hs-grad,8,Married-civ-spouse,Sales,Husband,Asian-pac-islander,Male,0,0,35,Mexico,>50k
61,?,281161,Hs-grad,10,Widowed,Farming-fishing,Husband,Other,Male,0,0,11,Germany,<=50k
68,Private,177543,Hs-grad,2,Separated,Prof-specialty,Wife,White,Male,0,0,53,Canada,>50k
30,Private,228843,Hs-grad,9,Married-civ-spouse,Sales,Other-relative,White,Female,0,0,32,United-states,<=50k
40,Self-emp-not-inc,123940,11th,1,Married-spouse-absent,Machine-op-inspct,Husband,White,Male,0,0,32,Haiti,<=50k
20,Federal-gov,316834,Masters,5,Widowed,?,Husband,White,Male,0,0,41,United-states,[UNK]
78,Self-emp-inc,146647,Hs-grad,9,Married-civ-spouse,Farming-fishing,Husband,Other,Male,0,0,4,England,<=50k
84,Without-pay,287244,Bachelors,6,Separated,Exec-managerial,Not-in-family,Amer-indian-eskimo,Female,0,0,68,South,<=50k
84,?,185141,Some-college,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,68,England,<=50k
43,Self-emp-inc,185145,Masters,4,Married-spouse-absent,Protective-serv,Wife,White,Female,0,0,4,Haiti,>50k
17,State-gov,57535,Assoc-voc,11,[UNK],Protective-serv,Wife,Other,Male,0,0,25,England,<=50k
32,State-gov,32439,Assoc-voc,5,Married-spouse-absent,Adm-clerical,Not-in-family,White,Male,0,0,32,United-states,<=50k
84,Private,236259,Hs-grad,6,Married-spouse-absent,Prof-specialty,Husband,Other,Male,0,0,4,El-salvador,<=50k
80,Private,181506,Assoc-voc,8,Married-civ-spouse,Other-service,Husband,Other,Male,0,0,59,Guatemala,<=50k
48,Self-emp-inc,105176,Assoc-acdm,12,Married-af-spouse,Transport-moving,Husband,White,Male,0,0,42,Germany,<=50k
20,Federal-gov,374625,5th-6th,2,Married-af-spouse,Prof-specialty,Husband,White,Male,0,0,49,Canada,>50k
37,Never-worked,149195,Hs-grad,4,Married-af-spouse,Sales,Husband,Amer-indian-eskimo,Male,0,0,25,Cuba,>50k
23,State-gov,287245,Hs-grad,2,Separated,Machine-op-inspct,Husband,White,Male,0,0,54,United-states,>50k
43,Private,126630,Doctorate,11,Married-civ-spouse,Sales,Husband,Black,Male,0,0,87,United-states,<=50k
59,Private,269313,Assoc-voc,10,Married-civ-spouse,Farming-fishing,Unmarried,White,Male,0,0,4,Haiti,<=50k
41,State-gov,199345,Hs-grad,3,Separated,?,Husband,Other,Male,0,0,79,United-states,<=50k
27,Self-emp-inc,325224,Hs-grad,3,Widowed,Farming-fishing,Husband,Black,Male,0,0,52,France,<=50k
82,Federal-gov,69401,Assoc-voc,8,Widowed,Sales,Husband,Other,Male,0,0,11,Ecuador,>50k
28,Federal-gov,175941,Hs-grad,13,Married-civ-spouse,Priv-house-serv,Wife,White,Male,0,0,60,United-states,>50k
23,Private,244066,Doctorate,1,Married-af-spouse,Prof-specialty,Husband,Other,Male,0,0,36,Mexico,<=50k
89,Private,258504,Hs-grad,9,Widowed,Prof-specialty,Husband,White,Male,0,0,42,Philippines,<=50k
35,State-gov,185144,9th,5,Married-civ-spouse,Other-service,Husband,White,Female,0,0,62,Columbia,<=50k
82,Private,94321,Some-college,3,Married-af-spouse,Adm-clerical,Unmarried,Asian-pac-islander,Male,0,0,62,United-states,>50k
61,Private,32437,Prof-school,10,Married-spouse-absent,Transport-moving,Unmarried,White,Female,0,0,72,Philippines,<=50k
28,State-gov,191948,Hs-grad,5,Widowed,Other-service,Wife,Other,Female,0,0,25,United-states,<=50k
25,Private,100421,Hs-grad,5,Never-married,Transport-moving,Husband,White,Female,0,0,7,England,>50k
88,Self-emp-not-inc,69418,Assoc-voc,15,Married-civ-spouse,Prof-specialty,Not-in-family,Other,Female,0,0,43,Canada,<=50k
56,State-gov,32443,10th,1,Married-civ-spouse,Adm-clerical,Wife,White,Male,0,0,52,Canada,<=50k
62,Private,325222,Hs-grad,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,91,Columbia,<=50k
89,?,126631,12th,10,Widowed,Adm-clerical,Wife,White,Male,0,0,35,Philippines,<=50k
73,State-gov,126636,Some-college,9,Widowed,Prof-specialty,Unmarried,White,Female,0,0,4,?,<=50k
23,Private,121280,Assoc-acdm,3,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,90,Laos,<=50k
82,Private,301510,Hs-grad,9,Never-married,Sales,Husband,Amer-indian-eskimo,Male,0,0,8,United-states,<=50k
61,Private,168381,Assoc-acdm,12,Widowed,Prof-specialty,Husband,Asian-pac-islander,Male,0,0,4,United-states,>50k
56,Private,218929,Assoc-voc,12,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,0,0,21,Mexico,<=50k
27,Private,97742,Assoc-acdm,16,Widowed,Prof-specialty,Husband,White,Male,0,0,6,Philippines,<=50k
36,Federal-gov,244057,1st-4th,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,29,England,<=50k
50,State-gov,374623,Hs-grad,5,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,0,0,62,?,>50k
84,Self-emp-inc,191950,Assoc-voc,9,Widowed,Sales,Husband,Other,Male,0,0,22,India,<=50k
56,Self-emp-inc,161824,Assoc-voc,15,Married-spouse-absent,Prof-specialty,Other-relative,Other,Male,0,0,54,Germany,<=50k
44,State-gov,228850,Hs-grad,14,Married-civ-spouse,Sales,Wife,White,Male,0,0,9,Philippines,<=50k
84,State-gov,342155,Assoc-voc,2,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,83,Ireland,<=50k
73,?,164066,Bachelors,14,Widowed,Tech-support,Wife,White,Male,0,0,62,Canada,<=50k
61,Local-gov,172495,Masters,12,Married-af-spouse,Prof-specialty,Unmarried,White,Male,0,0,37,United-states,<=50k
19,?,342144,Some-college,16,Divorced,Prof-specialty,Other-relative,White,Male,0,0,66,China,<=50k
42,Federal-gov,32441,Hs-grad,16,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,0,0,41,United-states,<=50k
59,State-gov,32444,Assoc-voc,2,Married-spouse-absent,?,Wife,White,Female,0,0,62,United-states,<=50k
61,Private,436530,Hs-grad,3,Married-civ-spouse,Farming-fishing,Husband,Other,Male,0,0,54,United-states,<=50k
88,Private,215908,Bachelors,15,Separated,Prof-specialty,Husband,Black,Male,0,0,6,United-states,<=50k
37,Self-emp-inc,166331,Assoc-voc,9,Widowed,Craft-repair,Wife,White,Male,643,0,25,South,<=50k
61,Private,116771,Masters,14,Married-spouse-absent,Adm-clerical,Husband,Amer-indian-eskimo,Female,0,0,29,El-salvador,<=50k
62,Private,32440,Assoc-voc,7,Married-civ-spouse,Prof-specialty,Husband,Amer-indian-eskimo,Male,0,0,90,Germany,<=50k
85,Federal-gov,32446,Hs-grad,5,Separated,Priv-house-serv,Husband,Black,Male,0,0,91,Ecuador,<=50k
25,State-gov,94332,Hs-grad,9,Widowed,Machine-op-inspct,Wife,White,Male,0,0,76,El-salvador,<=50k
63,?,232504,Hs-grad,5,Widowed,Exec-managerial,Husband,Other,Male,0,0,30,Haiti,<=50k
48,Self-emp-not-inc,287253,Hs-grad,4,Never-married,Prof-specialty,Other-relative,White,Male,0,0,46,England,<=50k
25,Local-gov,123937,Assoc-voc,14,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,0,0,83,Puerto-rico,>50k
67,Private,215905,Masters,9,Widowed,Prof-specialty,Wife,Other,Male,0,0,57,United-states,<=50k
38,Private,116773,Hs-grad,13,Married-civ-spouse,Sales,Not-in-family,White,Female,0,0,57,United-states,>50k
50,Self-emp-not-inc,29423,Some-college,10,Married-af-spouse,Sales,Other-relative,White,Male,0,0,40,Haiti,<=50k
84,Private,69400,Assoc-acdm,12,Divorced,Machine-op-inspct,Other-relative,White,Male,0,0,47,Philippines,<=50k
39,Private,185140,Assoc-acdm,6,Married-civ-spouse,Sales,Wife,Other,Male,0,0,84,United-states,<=50k
73,Private,138559,Prof-school,6,Married-civ-spouse,Machine-op-inspct,Unmarried,Black,Male,0,0,37,Germany,<=50k
56,Private,149191,Hs-grad,10,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,52,United-states,<=50k
45,State-gov,157001,Assoc-voc,5,Widowed,Farming-fishing,Unmarried,White,Male,0,0,4,Germany,>50k
18,State-gov,121286,Assoc-acdm,3,Separated,Other-service,Husband,Asian-pac-islander,Male,0,0,49,Greece,<=50k
38,Private,107565,Masters,15,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,80,Germany,<=50k
40,State-gov,309151,Assoc-acdm,16,Widowed,Sales,Husband,White,Male,0,0,59,Puerto-rico,<=50k
19,Local-gov,32442,Some-college,5,Widowed,?,[UNK],White,Male,0,0,79,Canada,<=50k
