income,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
>50k,46,Private,168526,Some-college,7,Widowed,Adm-clerical,Husband,White,Male,0,0,40,Germany
<=50k,19,Private,157752,Masters,7,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,59485,0,40,Mexico
>50k,19,Self-emp-not-inc,144240,Some-college,2,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,16,Mexico
<=50k,42,Self-emp-not-inc,195622,Some-college,8,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,0,0,54,Mexico
>50k,20,Private,195627,Doctorate,10,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,40,United-states
>50k,33,Self-emp-not-inc,69970,Some-college,6,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,61,United-states
<=50k,85,?,38261,Masters,3,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,2187,40,Germany
>50k,46,Self-emp-not-inc,226039,10th,5,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,16,Mexico
<=50k,39,Private,94071,Assoc-voc,7,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,40,United-states
<=50k,61,Self-emp-not-inc,195624,Some-college,9,Married-civ-spouse,Prof-specialty,Not-in-family,Other,Male,0,0,54,United-states
<=50k,46,Self-emp-not-inc,144241,Some-college,1,Married-af-spouse,Prof-specialty,Wife,White,Male,0,0,35,Philippines
<=50k,56,Private,52692,11th,1,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,16,United-states
>50k,80,?,195637,Some-college,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,35,United-states
>50k,26,Self-emp-not-inc,210752,Hs-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,Mexico
>50k,42,Private,195623,Some-college,8,Married-civ-spouse,Prof-specialty,Wife,Amer-indian-eskimo,Male,0,0,56,United-states
>50k,46,Private,216310,Assoc-voc,5,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,Philippines
>50k,56,Self-emp-not-inc,174610,Hs-grad,7,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,59,Germany
<=50k,61,Without-pay,177777,Masters,8,Never-married,Prof-specialty,Wife,Black,Female,0,0,91,United-states
>50k,74,Private,244692,Masters,7,Never-married,Prof-specialty,Husband,Amer-indian-eskimo,Female,0,0,10,United-states
>50k,19,Self-emp-not-inc,341350,Some-college,8,Separated,Exec-managerial,Not-in-family,Black,Female,0,0,40,Philippines
>50k,63,Private,32334,Hs-grad,2,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0,0,54,Mexico
>50k,67,Private,157743,Hs-grad,7,Never-married,Exec-managerial,Unmarried,Black,Female,0,0,54,Germany
>50k,50,Self-emp-not-inc,94057,Hs-grad,1,Separated,Prof-specialty,Unmarried,White,Female,0,0,59,Mexico
>50k,56,Self-emp-not-inc,144238,Some-college,7,Married-civ-spouse,Exec-managerial,Wife,Black,Male,0,0,33,China
<=50k,85,Private,63859,Hs-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,93,Germany
<=50k,25,Private,152252,Masters,5,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,78,Mexico
<=50k,67,Private,226052,Assoc-voc,7,Never-married,Prof-specialty,Not-in-family,Amer-indian-eskimo,Female,0,0,93,Germany
>50k,28,Private,157743,Assoc-voc,13,Never-married,Prof-specialty,Husband,Amer-indian-eskimo,Male,0,1053,59,Mexico
>50k,46,Private,258020,Hs-grad,6,Widowed,Prof-specialty,Not-in-family,White,Male,0,0,40,United-states
<=50k,19,Private,157752,Masters,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,59,Mexico
>50k,58,Self-emp-not-inc,300722,Some-college,7,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,Germany
>50k,19,Private,94067,Some-college,1,Married-civ-spouse,Exec-managerial,Husband,Asian-pac-islander,Male,0,0,40,Mexico
>50k,46,Private,963599,Masters,3,Widowed,Craft-repair,Husband,Amer-indian-eskimo,Male,0,0,59,Mexico
<=50k,46,Private,361816,Some-college,7,Married-civ-spouse,Exec-managerial,Not-in-family,Black,Male,0,0,54,Mexico
>50k,61,Private,157743,Hs-grad,7,Never-married,Prof-specialty,Not-in-family,Amer-indian-eskimo,Male,0,0,59,United-states
<=50k,56,Private,181631,Masters,14,Divorced,Exec-managerial,Not-in-family,Other,Male,0,0,40,Puerto-rico
>50k,45,Self-emp-not-inc,324137,Some-college,8,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,91,United-states
<=50k,46,Self-emp-not-inc,170479,Some-college,7,Never-married,Exec-managerial,Husband,Amer-indian-eskimo,Female,0,0,54,Mexico
>50k,61,Private,157743,11th,2,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0,0,40,Germany
>50k,42,Self-emp-not-inc,195619,Assoc-voc,7,Never-married,Prof-specialty,Husband,White,Male,0,0,54,Germany
>50k,56,Self-emp-not-inc,42929,Some-college,7,Married-civ-spouse,Prof-specialty,Husband,Black,Female,0,0,54,Philippines
<=50k,46,Private,157748,Hs-grad,5,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,Nicaragua
<=50k,46,Private,168530,Some-college,9,Never-married,Prof-specialty,Not-in-family,Asian-pac-islander,Female,0,0,40,Germany
<=50k,46,Self-emp-not-inc,97649,Some-college,6,Never-married,Prof-specialty,Not-in-family,Asian-pac-islander,Male,0,3195,59,Mexico
>50k,37,Private,244695,Prof-school,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0,0,11,Mexico
<=50k,47,Private,193755,Some-college,6,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,11,United-states
<=50k,19,Self-emp-not-inc,105035,11th,15,Never-married,Exec-managerial,Husband,Other,Female,0,0,30,Germany
<=50k,46,Private,100351,Some-college,9,Separated,Exec-managerial,Unmarried,Amer-indian-eskimo,Female,0,0,4,Mexico
>50k,56,Private,195625,Assoc-voc,7,Never-married,Exec-managerial,Not-in-family,Black,Female,0,0,41,Mexico
<=50k,46,Self-emp-not-inc,146930,10th,3,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,35,Mexico
>50k,46,Private,201312,Hs-grad,9,Married-civ-spouse,Sales,Not-in-family,Amer-indian-eskimo,Male,0,0,40,Mexico
>50k,19,Self-emp-not-inc,226041,Some-college,10,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,40,Mexico
<=50k,46,Private,195628,11th,7,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,35,Germany
>50k,19,Self-emp-not-inc,144240,10th,5,Married-civ-spouse,Exec-managerial,Not-in-family,Asian-pac-islander,Female,0,0,40,United-states
>50k,47,Private,193751,Masters,3,Widowed,Prof-specialty,Wife,Asian-pac-islander,Male,0,0,5,Mexico
<=50k,90,Self-emp-not-inc,229362,Assoc-voc,7,Divorced,Other-service,Not-in-family,White,Male,0,0,79,Germany
>50k,69,Private,185242,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,Germany
>50k,17,Self-emp-not-inc,181625,Hs-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,30,Mexico
<=50k,25,Self-emp-not-inc,201311,Some-college,3,Married-civ-spouse,Sales,Husband,White,Female,0,0,78,United-states
<=50k,46,Private,157748,Masters,10,Married-civ-spouse,Prof-specialty,Husband,Amer-indian-eskimo,Female,0,0,50,Mexico
<=50k,40,Private,123857,9th,9,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,0,0,78,Mexico
