income,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
>50k,46,Private,168523,Some-college,7,Widowed,Prof-specialty,Husband,White,Male,0,0,40,Germany
<=50k,74,Private,157740,Masters,7,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0,0,86,Mexico
>50k,75,Self-emp-not-inc,144234,Some-college,2,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,16,Mexico
<=50k,42,Self-emp-not-inc,195620,Some-college,8,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,0,0,54,Mexico
>50k,43,Private,195620,Doctorate,10,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,40,United-states
>50k,33,Self-emp-not-inc,69963,Some-college,6,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,61,United-states
<=50k,85,Self-emp-not-inc,38228,Doctorate,3,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,2187,40,Germany
>50k,46,Self-emp-not-inc,226035,10th,5,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,16,Mexico
<=50k,39,Private,94064,Assoc-voc,7,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,40,United-states
<=50k,42,Self-emp-not-inc,195620,Some-college,9,Married-civ-spouse,Prof-specialty,Not-in-family,Other,Male,0,0,54,United-states
<=50k,46,Self-emp-not-inc,144238,Some-college,12,Married-af-spouse,Prof-specialty,Wife,White,Male,0,0,35,Philippines
<=50k,56,Private,52685,11th,7,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,16,United-states
>50k,80,?,195633,Some-college,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,35,United-states
>50k,26,Self-emp-not-inc,210749,Hs-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,Mexico
>50k,42,Private,114603,Some-college,8,Married-civ-spouse,Prof-specialty,Wife,Amer-indian-eskimo,Male,0,0,93,United-states
>50k,46,Private,216306,Assoc-voc,5,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,El-salvador
>50k,56,Self-emp-not-inc,162296,Hs-grad,7,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,59,Germany
<=50k,61,Without-pay,177775,Masters,8,Never-married,Prof-specialty,Wife,Black,Female,0,0,91,United-states
>50k,74,Private,244685,Masters,7,Never-married,Prof-specialty,Husband,Amer-indian-eskimo,Female,0,0,10,United-states
>50k,19,Self-emp-not-inc,341343,Some-college,8,Separated,Exec-managerial,Not-in-family,Black,Female,0,0,40,Philippines
>50k,63,Private,144241,Hs-grad,2,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0,0,54,Mexico
>50k,71,Private,157736,Hs-grad,7,Never-married,Exec-managerial,Unmarried,Black,Female,0,0,79,Germany
<=50k,50,Self-emp-not-inc,94058,Hs-grad,1,Separated,Prof-specialty,Unmarried,White,Female,0,0,59,Mexico
>50k,56,Self-emp-not-inc,144236,Some-college,7,Married-civ-spouse,Exec-managerial,Wife,Black,Male,0,0,33,China
<=50k,85,Private,63848,Hs-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,93,Germany
<=50k,25,Private,152248,Masters,5,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,78,Mexico
<=50k,67,Private,210758,Assoc-voc,7,Never-married,Prof-specialty,Not-in-family,Amer-indian-eskimo,Female,0,0,93,Germany
>50k,28,Private,157738,Assoc-voc,13,Never-married,Prof-specialty,Husband,Amer-indian-eskimo,Male,0,1053,35,Mexico
>50k,46,Private,258012,Hs-grad,6,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-states
<=50k,19,Private,157748,Masters,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,59,Mexico
>50k,60,Self-emp-not-inc,300718,Some-college,7,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,Germany
>50k,85,Private,94053,Some-college,1,Married-civ-spouse,Exec-managerial,Husband,Asian-pac-islander,Male,0,0,40,Mexico
