age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
71,Private,185012,Assoc-voc,6,Never-married,Other-service,Husband,Black,Male,0,0,53,Germany,<=50k
46,Private,232248,Bachelors,10,Never-married,Sales,Not-in-family,White,Male,0,0,45,China,>50k
21,Local-gov,85091,Hs-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,3913,53,United-states,<=50k
39,State-gov,42794,Assoc-voc,5,Married-civ-spouse,Prof-specialty,Own-child,Amer-indian-eskimo,Male,0,0,11,?,<=50k
85,Private,129364,Hs-grad,11,Separated,Prof-specialty,Husband,Amer-indian-eskimo,Female,0,0,11,Puerto-rico,<=50k
35,Private,100252,Assoc-voc,9,Married-civ-spouse,Prof-specialty,Husband,Amer-indian-eskimo,Male,0,0,21,Mexico,>50k
75,Private,116633,Hs-grad,10,Divorced,Prof-specialty,Husband,Black,Male,0,0,86,Philippines,<=50k
56,State-gov,57181,Assoc-voc,2,Married-civ-spouse,Prof-specialty,Husband,Asian-pac-islander,Male,0,0,42,United-states,<=50k
39,Private,129363,Some-college,7,Never-married,Craft-repair,Unmarried,White,Male,0,0,52,?,<=50k
90,Private,135556,Hs-grad,8,Never-married,Craft-repair,Husband,White,Male,0,0,17,United-states,>50k
40,Self-emp-not-inc,154308,Bachelors,9,Married-civ-spouse,Adm-clerical,Husband,Amer-indian-eskimo,Male,0,0,15,United-states,<=50k
65,Private,32265,Hs-grad,11,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,99,Mexico,<=50k
60,Self-emp-not-inc,161682,Hs-grad,10,Divorced,Prof-specialty,Husband,White,Female,23220,0,53,United-states,<=50k
43,Self-emp-not-inc,434547,9th,5,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,99,United-states,>50k
55,Private,197378,Hs-grad,3,Separated,Prof-specialty,Husband,Amer-indian-eskimo,Female,0,2737,32,India,<=50k
55,Private,434457,Masters,11,Married-civ-spouse,Prof-specialty,Husband,Amer-indian-eskimo,Male,0,0,25,Cuba,>50k
85,Private,38059,Hs-grad,2,Widowed,Exec-managerial,Husband,Amer-indian-eskimo,Male,0,0,11,Philippines,>50k
34,Private,324641,Hs-grad,6,Married-civ-spouse,Craft-repair,Not-in-family,Amer-indian-eskimo,Male,0,0,73,Germany,>50k
60,Private,188482,Hs-grad,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2275,73,United-states,<=50k
34,Private,129363,Masters,7,Separated,Prof-specialty,Wife,White,Male,0,0,9,El-salvador,>50k
75,Private,170225,Masters,3,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,80,Canada,<=50k
20,Private,38060,Assoc-voc,2,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,33,United-states,<=50k
46,Private,126450,Some-college,2,Married-civ-spouse,Craft-repair,Unmarried,Black,Male,0,0,54,Philippines,<=50k
75,Self-emp-not-inc,29182,Masters,3,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,21,United-states,>50k
61,Private,52448,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,28,Mexico,<=50k
73,Private,181376,Hs-grad,8,Widowed,Prof-specialty,Not-in-family,Amer-indian-eskimo,Male,8992,0,40,Puerto-rico,>50k
60,Private,57179,Bachelors,14,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,59963,0,84,United-states,<=50k
19,Private,239868,Hs-grad,4,Widowed,Adm-clerical,Husband,White,Male,0,2821,59,Cuba,<=50k
20,Private,274821,Assoc-voc,6,Married-civ-spouse,Exec-managerial,Wife,Asian-pac-islander,Male,0,0,40,Germany,>50k
48,Private,937098,Bachelors,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,79,Mexico,<=50k
89,State-gov,132403,Masters,10,Married-af-spouse,Craft-repair,Unmarried,Other,Male,0,0,59,United-states,>50k
44,Private,123752,Masters,7,Never-married,Other-service,Husband,White,Male,0,0,99,Philippines,>50k
70,Private,156823,Assoc-voc,9,Divorced,Prof-specialty,Husband,White,Male,0,0,53,United-states,<=50k
50,Self-emp-not-inc,116639,Hs-grad,7,Never-married,Prof-specialty,Husband,Asian-pac-islander,Male,0,0,53,Germany,<=50k
