age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
71,Private,185536,Assoc-voc,6,Married-af-spouse,Other-service,Husband,Black,Male,0,0,51,Germany,<=50k
46,Private,233036,Bachelors,10,Never-married,Sales,Not-in-family,Other,Female,0,0,45,Cuba,>50k
21,Local-gov,85400,Assoc-acdm,1,Married-spouse-absent,Sales,Husband,Black,Male,0,3915,21,United-states,<=50k
39,State-gov,43127,Assoc-voc,5,Married-civ-spouse,Sales,Wife,Amer-indian-eskimo,Male,0,0,51,China,<=50k
85,?,129903,10th,11,Separated,Machine-op-inspct,Husband,Amer-indian-eskimo,Female,0,0,11,Puerto-rico,<=50k
35,State-gov,100553,Assoc-voc,9,Married-af-spouse,Handlers-cleaners,Husband,Amer-indian-eskimo,Male,0,0,21,Mexico,>50k
75,State-gov,116951,Assoc-acdm,2,Divorced,Craft-repair,Husband,Black,Male,0,0,95,Philippines,<=50k
56,State-gov,57640,Prof-school,2,Widowed,Sales,Other-relative,Asian-pac-islander,Female,0,0,42,India,<=50k
39,Never-worked,129891,Some-college,7,Married-af-spouse,Prof-specialty,Unmarried,White,Male,0,0,51,?,<=50k
90,Private,136130,Hs-grad,8,Separated,Prof-specialty,Husband,Black,Male,0,0,64,United-states,>50k
22,Self-emp-not-inc,154976,Assoc-acdm,10,Married-civ-spouse,Adm-clerical,Husband,Other,Male,0,0,15,Puerto-rico,<=50k
65,Never-worked,32259,Doctorate,11,Married-af-spouse,Craft-repair,Husband,Black,Male,0,0,99,Mexico,<=50k
60,State-gov,162308,Hs-grad,15,Divorced,Farming-fishing,Husband,White,Female,23289,0,53,United-states,<=50k
43,Local-gov,244973,9th,5,Married-civ-spouse,Adm-clerical,Wife,White,Male,0,0,41,United-states,>50k
55,Private,197999,9th,3,Separated,Craft-repair,Wife,Amer-indian-eskimo,Female,0,1436,32,El-salvador,<=50k
47,Private,160139,Masters,11,Married-af-spouse,Exec-managerial,Husband,Amer-indian-eskimo,Male,0,0,25,England,>50k
60,Private,38208,Hs-grad,2,Widowed,Exec-managerial,Husband,Amer-indian-eskimo,Male,0,0,11,Philippines,>50k
34,Private,325389,Hs-grad,6,Married-civ-spouse,Prof-specialty,Not-in-family,Other,Female,0,0,73,Germany,>50k
60,Federal-gov,188979,Hs-grad,1,Married-civ-spouse,Sales,Husband,White,Male,0,2277,73,China,<=50k
34,Federal-gov,129897,Masters,6,Separated,Sales,Wife,White,Male,0,0,9,India,>50k
75,Private,173122,Assoc-acdm,14,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,80,Canada,<=50k
20,?,38222,11th,2,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,33,United-states,<=50k
46,Self-emp-inc,126904,Some-college,2,Separated,Prof-specialty,Unmarried,Other,Male,0,0,54,Philippines,<=50k
75,?,29173,Assoc-acdm,3,Married-af-spouse,Sales,Husband,White,Female,0,0,21,Jamaica,>50k
43,Private,52766,Some-college,10,Married-af-spouse,Sales,Wife,White,Male,0,0,28,Mexico,<=50k
73,Private,181874,Hs-grad,8,Widowed,Armed-forces,Not-in-family,Amer-indian-eskimo,Male,118,0,4,Puerto-rico,>50k
60,State-gov,57653,Bachelors,15,Married-af-spouse,Craft-repair,Not-in-family,Other,Female,60146,0,84,United-states,<=50k
19,Federal-gov,240731,Hs-grad,6,Widowed,Adm-clerical,Husband,White,Male,0,2823,24,England,<=50k
20,?,275466,Assoc-voc,6,Married-civ-spouse,Exec-managerial,Wife,Asian-pac-islander,Male,0,0,64,China,>50k
48,Private,902889,10th,5,Married-spouse-absent,Exec-managerial,Other-relative,White,Male,0,0,79,India,<=50k
89,State-gov,133025,Masters,11,Married-af-spouse,Prof-specialty,Unmarried,Other,Female,0,0,59,United-states,<=50k
44,Federal-gov,124313,Masters,9,Never-married,Other-service,Husband,White,Male,0,0,99,India,>50k
70,?,157681,9th,9,Divorced,Farming-fishing,Husband,White,Male,0,0,74,England,<=50k
