income,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
[UNK],54,[UNK],157488,12th,3,[UNK],[UNK],Husband,White,[UNK],0.0,0.0,93,Poland
[UNK],77,[UNK],117037,Assoc-voc,14,[UNK],[UNK],Wife,[UNK],[UNK],0.0,0.0,40,Poland
[UNK],42,Local-gov,203337,1st-4th,7,Never-married,[UNK],[UNK],[UNK],[UNK],0.0,3368.616558398008,48,Jamaica
<=50k,84,[UNK],117021,[UNK],16,Never-married,Sales,[UNK],Other,Female,0.0,2654.1732477664946,60,Mexico
[UNK],18,[UNK],126719,[UNK],3,[UNK],[UNK],Wife,[UNK],[UNK],24911.702380520583,0.0,16,India
>50k,53,Local-gov,121492,Bachelors,15,[UNK],Armed-forces,Husband,Other,[UNK],0.0,0.0,12,Dominican-republic
[UNK],23,State-gov,138938,[UNK],8,Widowed,[UNK],[UNK],[UNK],Male,0.0,2780.649952271581,93,Puerto-rico
[UNK],28,Local-gov,112659,10th,5,[UNK],[UNK],Unmarried,Other,Female,45819.13142358034,0.0,93,Columbia
[UNK],85,Private,361481,Masters,8,[UNK],[UNK],[UNK],[UNK],[UNK],0.0,0.0,2,Thailand
[UNK],28,Self-emp-not-inc,105116,Preschool,2,Widowed,[UNK],[UNK],[UNK],[UNK],0.0,0.0,74,Italy
[UNK],19,Never-worked,257857,[UNK],11,[UNK],[UNK],Husband,[UNK],[UNK],0.0,0.0,76,Iran
[UNK],23,[UNK],117034,12th,11,Separated,Farming-fishing,[UNK],[UNK],[UNK],0.0,1477.9783822128177,50,Mexico
>50k,56,[UNK],162110,Assoc-voc,8,[UNK],Armed-forces,[UNK],[UNK],[UNK],0.0,0.0,41,El-salvador
[UNK],35,?,286877,9th,3,Separated,[UNK],[UNK],[UNK],[UNK],0.0,0.0,19,Italy
[UNK],67,Without-pay,168679,11th,9,[UNK],Other-service,[UNK],[UNK],[UNK],0.0,0.0,46,Canada
[UNK],81,[UNK],361603,Assoc-acdm,15,[UNK],[UNK],Own-child,[UNK],[UNK],0.0,0.0,3,Germany
>50k,60,[UNK],144385,[UNK],5,[UNK],Sales,[UNK],Black,[UNK],0.0,0.0,75,Nicaragua
[UNK],74,[UNK],170644,10th,3,[UNK],[UNK],Wife,[UNK],[UNK],0.0,0.0,24,Columbia
[UNK],58,Federal-gov,94247,Masters,12,Married-af-spouse,Armed-forces,[UNK],[UNK],[UNK],0.0,0.0,48,Jamaica
[UNK],42,[UNK],114933,Some-college,8,[UNK],?,Other-relative,[UNK],Female,1896.166623953582,2443.8414698889856,97,Trinadad&tobago
>50k,71,[UNK],195560,[UNK],13,[UNK],?,Wife,[UNK],[UNK],0.0,0.0,14,Guatemala
[UNK],55,State-gov,74847,Hs-grad,2,Divorced,[UNK],[UNK],[UNK],[UNK],0.0,1100.0263345959784,86,Mexico
[UNK],42,Never-worked,350391,10th,11,Never-married,[UNK],[UNK],White,[UNK],0.0,0.0,16,Cuba
[UNK],75,[UNK],164392,[UNK],5,Widowed,[UNK],[UNK],Amer-indian-eskimo,[UNK],0.0,0.0,77,Italy
<=50k,39,?,168687,Some-college,11,[UNK],Transport-moving,[UNK],[UNK],[UNK],0.0,2486.000404777229,34,Iran
[UNK],20,[UNK],57398,[UNK],4,[UNK],Sales,[UNK],Other,[UNK],0.0,2191.935609322786,68,China
[UNK],26,[UNK],108021,Some-college,8,Married-af-spouse,Exec-managerial,[UNK],Other,[UNK],0.0,4334.268335514963,4,Vietnam
[UNK],31,Self-emp-inc,280832,1st-4th,14,[UNK],Prof-specialty,[UNK],[UNK],[UNK],0.0,0.0,55,Italy
[UNK],35,Self-emp-inc,177629,Prof-school,8,Never-married,[UNK],[UNK],Other,[UNK],0.0,0.0,75,Yugoslavia
[UNK],66,State-gov,197440,[UNK],2,[UNK],Adm-clerical,[UNK],[UNK],[UNK],0.0,0.0,66,Philippines
[UNK],61,[UNK],119179,Masters,5,Never-married,Priv-house-serv,[UNK],[UNK],Male,2172.044975971496,928.4670364147424,49,Vietnam
>50k,83,[UNK],316599,Hs-grad,2,[UNK],Sales,Own-child,[UNK],[UNK],0.0,2108.1147079172733,31,England
