income,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
[UNK],54,?,157812,12th,3,Married-civ-spouse,[UNK],Husband,White,[UNK],0.0,0.0,14,United-states
<=50k,77,Private,117264,Assoc-voc,7,[UNK],[UNK],[UNK],White,Female,0.0,0.0,40,India
[UNK],42,Local-gov,248010,[UNK],7,[UNK],[UNK],[UNK],[UNK],[UNK],0.0,0.0,48,Jamaica
<=50k,84,Private,117265,[UNK],8,Never-married,[UNK],[UNK],[UNK],Female,0.0,0.0,60,Mexico
[UNK],18,State-gov,126749,Assoc-voc,4,Widowed,[UNK],Husband,[UNK],Male,1888.2450521373955,0.0,5,India
>50k,53,Private,124401,Bachelors,7,Married-spouse-absent,Prof-specialty,Husband,[UNK],[UNK],0.0,0.0,12,Dominican-republic
<=50k,33,State-gov,154802,Hs-grad,8,Widowed,Craft-repair,[UNK],White,Male,0.0,0.0,40,Puerto-rico
[UNK],61,Local-gov,157501,11th,7,Married-civ-spouse,Other-service,Other-relative,Other,Male,0.0,0.0,18,Ireland
[UNK],85,Private,43153,7th-8th,9,[UNK],[UNK],[UNK],[UNK],[UNK],0.0,0.0,11,Thailand
[UNK],28,Private,105849,Preschool,2,[UNK],[UNK],[UNK],[UNK],[UNK],0.0,0.0,74,Philippines
<=50k,56,Private,197679,[UNK],3,[UNK],Adm-clerical,Husband,White,[UNK],0.0,0.0,76,India
<=50k,79,Private,117263,12th,4,Separated,Prof-specialty,[UNK],White,[UNK],0.0,1604.9745709770918,51,India
>50k,56,Private,162409,[UNK],8,[UNK],Transport-moving,Own-child,[UNK],[UNK],0.0,0.0,35,Jamaica
[UNK],35,?,287623,9th,2,Separated,[UNK],[UNK],[UNK],[UNK],0.0,0.0,19,Canada
[UNK],67,Without-pay,168740,11th,7,Separated,Other-service,Unmarried,Asian-pac-islander,Male,0.0,0.0,46,Canada
>50k,81,[UNK],361845,Assoc-acdm,6,Widowed,Prof-specialty,Own-child,White,[UNK],0.0,0.0,4,United-states
[UNK],61,?,144693,[UNK],5,[UNK],Other-service,[UNK],Black,[UNK],0.0,0.0,35,Nicaragua
<=50k,74,Local-gov,170656,[UNK],4,[UNK],[UNK],[UNK],Amer-indian-eskimo,[UNK],0.0,0.0,24,Taiwan
[UNK],58,Federal-gov,275230,Masters,12,Married-af-spouse,[UNK],[UNK],White,[UNK],0.0,0.0,48,Jamaica
[UNK],42,Federal-gov,114946,Some-college,8,Married-af-spouse,Craft-repair,Other-relative,Black,Female,0.0,0.0,97,Trinadad&tobago
[UNK],69,Local-gov,195595,[UNK],6,[UNK],Prof-specialty,[UNK],[UNK],[UNK],0.0,0.0,14,Guatemala
[UNK],46,State-gov,74996,Hs-grad,2,Divorced,Priv-house-serv,[UNK],[UNK],Male,0.0,0.0,86,Mexico
[UNK],42,Never-worked,350568,[UNK],4,[UNK],[UNK],[UNK],White,[UNK],0.0,0.0,16,Canada
[UNK],75,Self-emp-not-inc,210215,Some-college,9,Widowed,Protective-serv,Husband,Amer-indian-eskimo,Male,0.0,0.0,35,?
<=50k,58,?,38390,Some-college,3,Married-spouse-absent,Transport-moving,[UNK],[UNK],Male,0.0,0.0,54,United-states
<=50k,82,[UNK],57429,Masters,7,Married-civ-spouse,Sales,[UNK],White,[UNK],0.0,0.0,42,Mexico
<=50k,26,Private,108279,Hs-grad,8,[UNK],Exec-managerial,[UNK],Black,Female,0.0,4335.731055703759,40,United-states
[UNK],28,Self-emp-inc,281101,Hs-grad,14,[UNK],Prof-specialty,Unmarried,[UNK],Male,0.0,0.0,56,India
[UNK],50,Self-emp-inc,177706,7th-8th,8,Never-married,[UNK],Not-in-family,[UNK],[UNK],0.0,0.0,75,United-states
<=50k,66,State-gov,228397,[UNK],2,[UNK],Adm-clerical,[UNK],[UNK],[UNK],0.0,0.0,48,Philippines
>50k,61,Local-gov,119222,Masters,5,Never-married,Priv-house-serv,[UNK],[UNK],Male,2175.764001101696,0.0,50,United-states
>50k,83,Private,317631,Hs-grad,2,[UNK],[UNK],Own-child,[UNK],[UNK],0.0,2109.0062376821043,47,Germany
[UNK],46,?,147368,Masters,13,[UNK],Prof-specialty,Unmarried,[UNK],Female,0.0,0.0,57,Germany
[UNK],24,Federal-gov,286994,Doctorate,6,[UNK],Prof-specialty,Husband,[UNK],[UNK],0.0,0.0,15,China
<=50k,51,Local-gov,157502,Hs-grad,8,[UNK],Prof-specialty,[UNK],Other,[UNK],0.0,0.0,40,South
<=50k,80,Local-gov,185262,Hs-grad,13,Married-spouse-absent,Transport-moving,Other-relative,[UNK],[UNK],0.0,0.0,18,Jamaica
[UNK],32,?,57981,[UNK],2,Never-married,[UNK],[UNK],[UNK],[UNK],0.0,638.3933586776257,16,United-states
